Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Agriportance,"Nov 1, 2020","Münster, Nordrhein-Westfalen,","Energy, Enterprise Resource Planning (ERP),,",11-50,1,—,Seed,"Dec 15, 2022",—,2,—,"SaaS for EU energy certs and trading, Agriportance drives renewables market"
Sawayo,"Apr 2, 2020","Rostock, Mecklenburg-Vorpommern,","Apps, B2B, Compliance, Information Services,,,,,",11-50,2,—,Seed,"May 3, 2023",—,3,2,Sawayo is a company developing a SaaS compliance and workflow automation solution for SMEs.
MANSIO,"Apr 29, 2020","Aachen, Nordrhein-Westfalen,","IT Management, Logistics, SaaS,,",11-50,1,—,Seed,"Feb 19, 2024",—,—,—,SaaS for logistics industry
Yuno,2020,"Berlin, Berlin, Germany","Audio, E-Learning, Edutainment",11-50,1,—,Seed,"Jun 2, 2022",—,4,—,Yuno is an app that enhances their general knowledge by listening to short audio stories.
Zentur.io GmbH,"Aug 27, 2021","Landshut, Bayern, Germany","Data Visualization, Heating, Ventilation, and Air Conditioning (HVAC),,,",1-10,2,—,Seed,"Jun 12, 2024",—,3,1,"SaaS, District Heating"
Noyes technologies,2021,"Munich, Bayern, Germany","Robotics, Warehouse Automation",1-10,1,—,Seed,"Jun 1, 2021",—,3,2,"Noyes Technologies is in the process of automating urban storage areas with a robot-operated, ultra-dense, and micro warehouse."
AI Bots as a Service - a Conversational AI engine by AI BaaS,"Jan 7, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Digital Entertainment,,,,,,,,",11-50,2,—,Seed,"Nov 1, 2019",—,—,63,A world-leading Conversational AI engine. Voice assistants powered by AI BaaS.
Elara,2020,"Berlin, Berlin, Germany","Apps, Information Technology,,",11-50,1,—,Seed,"Nov 5, 2020",—,1,2,On a mission to reduce unplanned machine downtime to zero.
promiseQ,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Machine Learning",1-10,2,—,Seed,"Dec 22, 2023",—,6,7,promiseQ offers the exceptional confluence of cutting-edge AI & certified crowd workers.
Swiat,Feb 2022,"Frankfurt, Hessen, Germany","Blockchain, Cryptocurrency, Financial Services,,",1-10,1,—,Seed,"Jan 26, 2023",—,3,20,Swiat is a fintech company that develops blockchain-based financial market infrastructure for regulated financial entities.
