Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
tucan.ai,"Jun 1, 2020","Berlin, Berlin, Germany","Natural Language Processing,,,",11-50,2,—,Pre-Seed,"Sep 20, 2021",—,4,1,Your tool for more productive meetings.,Natural Language Processing,tucan.ai Natural Language Processing startup website,,,,2000.0
essentry,2020,"Eschborn, Hessen, Germany","Artificial Intelligence (AI), B2B,,,,,",11-50,1,—,Pre-Seed,"Aug 1, 2020",—,1,—,Making identity verification and access management more efficient and secure.,Artificial Intelligence (AI),essentry Artificial Intelligence (AI) startup website,,,,1000.0
rhome,2022,"Stuttgart, Baden-Wurttemberg,","Employment, Human Resources,,,,",1-10,2,—,Pre-Seed,"Oct 1, 2023",—,1,—,rhome is a SaaS solution that enables instantly analyses and mitigates legal and compliance risks for employees working abroad.,Employment,rhome Employment startup website,,,435,2000.0
Dance Masterclass,2021,"Berlin, Berlin, Germany","E-Learning, Education, Training",1-10,1,—,Pre-Seed,"Dec 1, 2021",—,1,—,Dance Masterclass is an online dance training platform that allows anyone to learn from the dancers and choreographers in the world.,E-Learning,Dance Masterclass E-Learning startup website,,,442K,
mavue,2022,"Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Software,",1-10,1,—,Pre-Seed,"Nov 1, 2022",—,1,—,mavue is the sustainability operating system for industrial companies.,Artificial Intelligence (AI),mavue Artificial Intelligence (AI) startup website,,,,1000.0
FRATCH,"Nov 1, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), B2B,,",1-10,1,—,Pre-Seed,"Nov 1, 2021",—,—,1,"Your AI Assistant to find freelancers and interim managers in seconds – no recruiter calls needed, legally compliant, and cost-efficient",Artificial Intelligence (AI),FRATCH Artificial Intelligence (AI) startup website,,,,3000.0
The Story Market,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Content Creators,,,,",1-10,1,—,Pre-Seed,"Sep 11, 2020",—,1,—,The Story Market provides content syndication and content analytics for publishers and content creators.,Artificial Intelligence (AI),The Story Market Artificial Intelligence (AI) startup website,,,139,
Wikimove,2022,"Bamberg, Bayern, Germany","Information Technology, Logistics,,",1-10,1,—,Pre-Seed,"Apr 14, 2022",—,1,—,Wikimove develops and creates a digital tool that shares visual reference of mobility status and transportation services.,Information Technology,Wikimove Information Technology startup website,,,,
ONINO,"Dec 21, 2021","Karlsruhe, Baden-Wurttemberg,","Blockchain, Data Storage, IT Infrastructure",1-10,1,—,Pre-Seed,"Apr 20, 2023",—,1,—,ONINO is building a graph-based decentralized network and helps companies leverage the power of Blockchain & Tokenization.,Blockchain,ONINO Blockchain startup website,,10K,,712.0
Codio Impact,"Feb 2, 2022","Berlin, Berlin, Germany","SaaS, Software, Sustainability",1-10,1,—,Pre-Seed,"Feb 8, 2022",—,3,—,"Codio Impact automates the way companies collect, manage and report their Environmental, Social, Governance (ESG) data.",SaaS,Codio Impact SaaS startup website,,,,
RevoAI GmbH,2021,"Karlsruhe, Baden-Wurttemberg,","Information Technology, Software",1-10,3,—,Pre-Seed,"Aug 1, 2022",—,2,—,We enable engineers to deliver incredible products. Faster.,Information Technology,RevoAI GmbH Information Technology startup website,,,,
Visiocue,"Apr 15, 2024","Berlin, Berlin, Germany","Air Transportation, Artificial Intelligence (AI),,",1-10,1,—,Pre-Seed,"Apr 15, 2024",—,1,—,Visiocue is an AI startup improving airport logistics by preventing human errors in the BHS. Funded by BEUMER Group,Air Transportation,Visiocue Air Transportation startup website,,,,39.0
Abowire,2020,"Berlin, Berlin, Germany","Information Technology, Internet,,,",11-50,1,—,Pre-Seed,"Jan 1, 2021",—,1,—,Abowire is an expert-driven solution to scale your recurring revenue. We fast-track your journey to subscription success.,Information Technology,Abowire Information Technology startup website,,,,
Zenesis,2021,"Leipzig, Sachsen, Germany","Software, Web Development",1-10,1,—,Pre-Seed,"Oct 15, 2024",—,3,—,Zenesis intends to change the way engineering planning processes are carried out.,Software,Zenesis Software startup website,,,,
Ivy Protocol,2022,"Berlin, Berlin, Germany","Cryptocurrency, Funding Platform,",1-10,1,—,Pre-Seed,"Apr 13, 2022",—,1,—,Ivy Protocol is a carbon offset projects with the funding and resources.,Cryptocurrency,Ivy Protocol Cryptocurrency startup website,,346,,
mysupply,2020,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Procurement,,,",11-50,1,—,Pre-Seed,"Apr 6, 2022",—,1,—,"SaaS, Procurement, Tender Process, Supplier Search, Offer Evaluation, Strategy Engine, Automized Negotiations, Lot Creation, AI",Artificial Intelligence (AI),mysupply Artificial Intelligence (AI) startup website,,,,
focused ai,"Aug 6, 2021","Ingelheim Am Rhein, Rheinland-Pfalz,","Artificial Intelligence (AI), Information Technology,",1-10,1,—,Pre-Seed,"Aug 6, 2021",—,3,1,AI-powered information distribution hub for construction companies: Making sure that all info finally ends up where it is supposed to be.,Artificial Intelligence (AI),focused ai Artificial Intelligence (AI) startup website,,,534,6000.0
Heyrecruit,"May 8, 2020","Frankfurt, Hessen, Germany","Human Resources, Software",11-50,1,—,Pre-Seed,"Apr 1, 2021",—,1,—,Heyrecruit is an app that supports clients in the selection and communication with applicants.,Human Resources,Heyrecruit Human Resources startup website,,,,344.0
Advoria,"Aug 29, 2023","Berlin, Berlin, Germany","Artificial Intelligence (AI), Legal,,,",1-10,1,—,Pre-Seed,"Oct 19, 2023",—,—,—,Online appointment booking for the successful law firm.,Artificial Intelligence (AI),Advoria Artificial Intelligence (AI) startup website,,,,
AIVITEX,May 2020,"Berlin, Berlin, Germany",Software,1-10,2,—,Pre-Seed,"Mar 1, 2022",—,—,—,We enable frontline workers to replace on-site visits with a video-aided software and to combine it with typical workflows.,Software,AIVITEX Software startup website,,,,
Journeyman,2020,"Berlin, Berlin, Germany","Career Planning, Communities,,,,",11-50,1,—,Pre-Seed,"Dec 15, 2020",—,2,1,The leading career - and workforce management platform for the skilled trades,Career Planning,Journeyman Career Planning startup website,,12,"1,131",1000.0
ShopVibes,2020,"Munich, Bayern, Germany",Software,1-10,1,—,Pre-Seed,"Nov 22, 2022",—,5,—,ShopVibes is a SaaS-based product information management company.,Software,ShopVibes Software startup website,,2,,578.0
myhome.io,"May 31, 2023","Düsseldorf, Nordrhein-Westfalen,","PropTech, Real Estate, Software",1-10,1,—,Pre-Seed,"Apr 1, 2024",—,—,—,"SaaS, Mobile App, Prop Tech, Real estate portal",PropTech,myhome.io PropTech startup website,,12,"8,496",1000.0
Go Tiger,2022,"Berlin, Berlin, Germany","Apps, Delivery, E-Commerce, Grocery",11-50,1,—,Pre-Seed,"Apr 21, 2022",—,5,—,Go Tiger delivers groceries online.,Apps,Go Tiger Apps startup website,,,,
Pointly,2021,"Berlin, Berlin, Germany","3D Technology, Analytics, Artificial Intelligence (AI),,,,,,,",1-10,2,—,Pre-Seed,"Nov 2, 2023",—,—,—,Pointly is a 3D point cloud classification platform offering AI techniques and tailor-made 3D AI solutions.,3D Technology,Pointly 3D Technology startup website,,52,,2000.0
Pigtie,2020,"Munich, Bayern, Germany","Finance, FinTech, Mobile Apps,",1-10,2,—,Pre-Seed,"Aug 4, 2022",—,1,1,Pigtie is an app that enables people to start investing and tackle their whole financial planning.,Finance,Pigtie Finance startup website,,,"1,906",1000.0
Fronyx,2020,"Essen, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), Electric Vehicle,,,,,",—,1,—,Pre-Seed,"May 1, 2024",—,1,—,Fronyx develops online solutions using artificial intelligence for the electric vehicle industry.,Artificial Intelligence (AI),Fronyx Artificial Intelligence (AI) startup website,,,,901.0
Compounder,"Jul 1, 2020","Cologne, Nordrhein-Westfalen,","EdTech, Education, Higher Education,,",1-10,1,—,Pre-Seed,"Mar 31, 2023",—,3,—,Compounder is a platform through which students can apply to their desired universities with just one profile.,EdTech,Compounder EdTech startup website,,,"1,579",935.0
Qruise,2021,"Saarbrücken, Saarland, Germany","Artificial Intelligence (AI), Machine Learning,,,",11-50,2,—,Pre-Seed,"Dec 1, 2022",—,2,—,Machine Learning for Science - starting with Quantum Technologies,Artificial Intelligence (AI),Qruise Artificial Intelligence (AI) startup website,,285,,2000.0
CooperHire,"Feb 12, 2020","Berlin, Berlin, Germany","Internet, Marketplace, Software",1-10,1,—,Pre-Seed,"Apr 4, 2020",—,1,—,CooperHire is a candidate-led job marketplace that aims to alleviate the agony and aggravation of looking for a new job.,Internet,CooperHire Internet startup website,,,,
vamos!,"Jan 15, 2021","Cologne, Nordrhein-Westfalen,",Mobile Apps,1-10,1,—,Pre-Seed,"Feb 12, 2022",—,1,3,vamos is a platform for spontaneous and friendly get-togethers among young people.,Mobile Apps,vamos! Mobile Apps startup website,,,,
HARPOCRATES Solutions,"Apr 14, 2020","Berlin, Berlin, Germany","Automotive, Banking, Cloud Computing,,,,,,,",1-10,2,—,Pre-Seed,"Nov 19, 2020",—,2,21,"Provider of Forward Compliance for B2B and B2C Customers in context of GDPR, Basel III/IV and other regulations and contract understanding.",Automotive,HARPOCRATES Solutions Automotive startup website,,,,236.0
Finstep,"Apr 27, 2022","Hamburg, Hamburg, Germany","EdTech, Education, FinTech",1-10,1,—,Pre-Seed,"Jun 4, 2022",—,—,—,"Mobile App, Financial Education for GenZ",EdTech,Finstep EdTech startup website,,,,499.0
getpantom,Feb 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Financial Services,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,—,getpantom helps early stage founders to find their Perfect Investors in Just 5 Minutes… with their AI-Driven Investor Search and Outreach,Artificial Intelligence (AI),getpantom Artificial Intelligence (AI) startup website,,,,
tracebloc,"Sep 29, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Enterprise Software,",1-10,1,—,Pre-Seed,"Sep 29, 2020",—,2,—,We help enterprises to easily identify and buy high-performance AI models for their specific use cases.,Artificial Intelligence (AI),tracebloc Artificial Intelligence (AI) startup website,,38,,4000.0
WebSniffer,2022,"Nuremberg, Bayern, Germany","Analytics, Big Data, Business Intelligence,,,,,,,",1-10,1,—,Pre-Seed,"May 1, 2022",—,—,26,An intelligence platform that tracks changes on the web and provides actionable insights,Analytics,WebSniffer Analytics startup website,,724,24,3000.0
Candoora,2022,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Human Resources,,,",1-10,1,—,Pre-Seed,"Dec 1, 2022",—,1,—,Employee Performance Platform,Artificial Intelligence (AI),Candoora Artificial Intelligence (AI) startup website,,,,
haeppie,"Feb 12, 2021","Munich, Bayern, Germany","B2B, SaaS, Sales Automation,",1-10,1,—,Pre-Seed,"Apr 10, 2021",—,—,—,haeppie builds the workspace for sales teams.,B2B,haeppie B2B startup website,,3,,450.0
Rephrasy,2022,"Gröbenzell, Bayern, Germany","Artificial Intelligence (AI), Information Technology,",1-10,2,—,Pre-Seed,"Jul 16, 2023",—,—,—,the world's most powerful AI Humanizer and AI-generated content detector.,Artificial Intelligence (AI),Rephrasy Artificial Intelligence (AI) startup website,,,,
emplu,2021,"Berlin, Berlin, Germany","Apps, Employee Benefits, Software",11-50,2,—,Pre-Seed,"May 10, 2022",—,8,—,emplu develops a software platform for building salary packages as diverse as the people involved.,Apps,emplu Apps startup website,,,,2000.0
saasmetrix,"Sep 2, 2021","Bielefeld, Nordrhein-Westfalen,","IT Management, Software",1-10,1,—,Pre-Seed,"Mar 1, 2022",—,—,—,"saasmetrix allows you to optimize your SaaS spending, accelerate your onboarding, and have all information you need just in one place!",IT Management,saasmetrix IT Management startup website,,,,1000.0
Ultimate,2021,"Berlin, Berlin, Germany","Blockchain, Information Technology,,,",11-50,1,—,Pre-Seed,"Jan 1, 2023",—,1,—,Ultimate is an information technology company that develops investment apps and web3 co-pilot for the navigation of crypto wallets.,Blockchain,Ultimate Blockchain startup website,,,,
Ventecon,Oct 2020,"Karlsruhe, Baden-Wurttemberg,","Artificial Intelligence (AI), B2B,,",1-10,1,—,Pre-Seed,"Nov 17, 2021",—,1,—,The AI Co-worker for Product Managers,Artificial Intelligence (AI),Ventecon Artificial Intelligence (AI) startup website,,,,1000.0
"sooley - insoles, your way","Jan 1, 2021","Konstanz, Baden-Wurttemberg,","Digital Marketing, Health Diagnostics,,",1-10,1,—,Pre-Seed,"Dec 31, 2020",—,1,—,"B2B/B2C, Our revolutionary 3D scanning app empowers millions worldwide to obtain custom insoles directly",Digital Marketing,"sooley - insoles, your way Digital Marketing startup website",,,,276.0
Looks,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Consumer Software,,,",1-10,1,—,Pre-Seed,"Jun 1, 2022",—,1,—,Looks is a mobile application that enables users to customize outfits based on the occasion.,Artificial Intelligence (AI),Looks Artificial Intelligence (AI) startup website,,52,,
Alocai,"Mar 1, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Software",11-50,1,—,Pre-Seed,"Oct 21, 2021",—,1,—,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.,Artificial Intelligence (AI),Alocai Artificial Intelligence (AI) startup website,,18,,905.0
Skytale,"Dec 9, 2020","Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Financial Services,",1-10,1,—,Pre-Seed,"Feb 15, 2021",—,—,4,Enterprise-grade crypto asset tracking and financial platform,Blockchain,Skytale Blockchain startup website,,"3,800",,3000.0
House Of Change,2022,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Consulting,,,,,",1-10,1,—,Pre-Seed,"Nov 16, 2022",—,3,—,info.link brings every physical product to the digital world.,Artificial Intelligence (AI),House Of Change Artificial Intelligence (AI) startup website,,,,
Qualiwise,2022,"Munich, Bayern, Germany","Artificial Intelligence (AI), Software",1-10,1,—,Pre-Seed,"Aug 27, 2024",—,1,—,Qualiwise has created software that digitizes the whole quality control process with the help of artificial intelligence.,Artificial Intelligence (AI),Qualiwise Artificial Intelligence (AI) startup website,,,,678.0
recoupling,"May 28, 2021","Berlin, Berlin, Germany","Apps, Artificial Intelligence (AI),",1-10,2,—,Pre-Seed,"Aug 29, 2023",—,4,—,Recoupling is a mobile app that combines scientific findings from couples therapy with gamification.,Apps,recoupling Apps startup website,,,,
