Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Converta,May 2023,"Berlin, Berlin, Germany","B2B, Point of Sale, SaaS",1-10,1,"€170,000",Pre-Seed,"May 26, 2023","€170,000",1,—,Converta guides B2B sales managers through their weekly pipeline review meetings and highlights.,B2B,Converta B2B startup website,,,,
Semorai,"Nov 24, 2022","Heilbronn, Baden-Wurttemberg,","Artificial Intelligence (AI), Service Industry,",1-10,1,"€200,000",Pre-Seed,"May 9, 2023","€200,000",2,—,Semorai - more freedom for engineers,Artificial Intelligence (AI),Semorai Artificial Intelligence (AI) startup website,,,,568.0
Telekinesis,2020,"Darmstadt, Hessen, Germany","Artificial Intelligence (AI), Machine Learning,",1-10,1,"$20,000",Pre-Seed,"Jun 30, 2023","$20,000",1,—,Telekinesis is an AI technology developer that enables robots to learn autonomously from videos through Visual Robot Programming.,Artificial Intelligence (AI),Telekinesis Artificial Intelligence (AI) startup website,,,,1000.0
IvyCheck,2022,"Berlin, Berlin, Germany","B2B, Cyber Security, Data Management,",1-10,1,"$500,000",Pre-Seed,"Sep 7, 2022","$500,000",1,—,IvyCheck is a AI driven cybersecurity company that offers enterprise teams a tool for extracting hidden insights from data.,B2B,IvyCheck B2B startup website,,,,340.0
Epapa,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), EdTech,",1-10,1,"€87,000",Pre-Seed,"Oct 1, 2022","€87,000",1,—,Epapa | An AI-powered learning App for activating abstract thinking in everyone,Artificial Intelligence (AI),Epapa Artificial Intelligence (AI) startup website,,,,
Aimars,2023,"Berlin, Berlin, Germany",Artificial Intelligence (AI),1-10,1,"€100,000",Pre-Seed,"Aug 18, 2023","€100,000",1,—,Aimars is an AI-driven sales optimization platform that helps businesses understand their customers better by analyzing data.,Artificial Intelligence (AI),Aimars Artificial Intelligence (AI) startup website,,,,428.0
Meaningful,2024,"Munich, Bayern, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,1,"€100,000",Pre-Seed,"Mar 5, 2024","€100,000",1,—,Supercharge your market research.,Artificial Intelligence (AI),Meaningful Artificial Intelligence (AI) startup website,,,534,6000.0
Sanos Group,2020,"Berlin, Berlin, Germany","Consumer Applications, Health Care",11-50,1,"€250,000",Pre-Seed,"Jan 7, 2020","€250,000",—,—,Technology enabled smoking cessation platform,Consumer Applications,Sanos Group Consumer Applications startup website,,,,135.0
Goldn,"Feb 1, 2021","Heidelberg, Baden-Wurttemberg,","Chemical, Cosmetics, SaaS",11-50,1,"€1,200,000",Pre-Seed,"Oct 31, 2021","€1,200,000",—,2,Goldn provides a digital ecosystem connecting brands and suppliers in order to optimize the cosmetics production workflow.,Chemical,Goldn Chemical startup website,,,372,
Effinigo,"Jan 16, 2023","Saarbrücken, Saarland, Germany","Commercial Real Estate, Facility Management,,,,,,",1-10,1,"€400,000",Pre-Seed,"May 1, 2023","€400,000",1,—,Effinigo optimizes the energy efficiency in non-residential buildings by providing easily retrofittable IoT solutions,Commercial Real Estate,Effinigo Commercial Real Estate startup website,,,,
amply,2023,"Berlin, Berlin, Germany","Finance, Financial Services, FinTech,",11-50,1,"€170,000",Pre-Seed,"Mar 14, 2023","€170,000",1,—,Amply offers a workspace for small and medium-sized businesses (SMBs) to handle their various financial tasks in a single location.,Finance,amply Finance startup website,,"7,853",,
Deltologic,"Aug 1, 2020","Berlin, Berlin, Germany","Information Technology, Sales Automation,",11-50,1,"$500,000",Pre-Seed,"Jan 18, 2023","$500,000",1,—,Deltologic is a software development agency on a mission to take marketplace businesses to the next level through software and automation.,Information Technology,Deltologic Information Technology startup website,,,"6,805",2000.0
Creatext,Jan 2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,,,",1-10,1,"$120,000",Pre-Seed,"Jan 25, 2021","$120,000",1,—,Creatext is a Berlin-based team of AI engineers building a “GitHub Copilot for salespeople”.,Artificial Intelligence (AI),Creatext Artificial Intelligence (AI) startup website,,,,
Snaplet,2020,"Berlin, Berlin, Germany","Database, Information Technology,",1-10,2,"$100,000",Pre-Seed,"Nov 4, 2022",—,3,1,"Snaplet is a tool for developers that copies a Postgres database, transforming personal information, to safely code against actual data.",Database,Snaplet Database startup website,,,,
Univents,"Nov 11, 2021","Marbach Am Neckar, Baden-Wurttemberg,","Catering, Concerts, Event Management,,,,,,,",1-10,1,"€200,000",Pre-Seed,"Feb 12, 2023","€200,000",—,—,Univents is a modern event technology SaaS that saves event managers half their time in event planning.,Catering,Univents Catering startup website,,,"1,032",
MeetAnyway,Apr 2020,"Stuttgart, Baden-Wurttemberg,","Collaboration, Enterprise, Software,,",1-10,1,"$125,000",Pre-Seed,"Mar 22, 2021","$125,000",1,—,MeetAnyway provides a platform that specializes in online events.,Collaboration,MeetAnyway Collaboration startup website,,6,,191.0
payactive,"May 1, 2020","Dresden, Sachsen, Germany","FinTech, Payments, Social Impact,,",1-10,1,"€625,000",Pre-Seed,"Feb 1, 2021","€625,000",—,—,Sustainable Payment Platform,FinTech,payactive FinTech startup website,,,,
benchANT,"Jan 1, 2021","Ulm, Baden-Wurttemberg, Germany",SaaS,1-10,1,"€950,000",Pre-Seed,"Jan 1, 2021","€950,000",1,—,Cloud Database Benchmarking-as-a-Service Platform,SaaS,benchANT SaaS startup website,,,,
Revideo,2023,"Babenhausen, Hessen, Germany","Internet, Software, Video",1-10,1,"$500,000",Pre-Seed,"Sep 6, 2023","$500,000",1,—,"Revideo is an open-source video editing framework with motion canvas, automates workflows, enables browser-based editing.",Internet,Revideo Internet startup website,,,,
Greenable,2022,"Kaiserslautern, Rheinland-Pfalz,","Analytics, Environmental Consulting,,",1-10,1,"€490,000",Pre-Seed,"Jul 1, 2023","€490,000",—,1,"Greenable offers a SaaS platform for automated, standardized CO₂ footprint calculation at the product level.",Analytics,Greenable Analytics startup website,,,,1000.0
Dive platform GMBH,Mar 2021,"Berlin, Berlin, Germany","Audio, Mobile Apps, Podcast, Social Media",11-50,2,"€700,000",Pre-Seed,"Apr 1, 2021","€500,000",1,9,Social audio for professionals,Audio,Dive platform GMBH Audio startup website,,219.3K,762K,
