Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Restack,2021,"Berlin, Berlin, Germany","Developer Platform, DevOps, Software",11-50,1,—,Pre-Seed,"Mar 30, 2021",—,9,1,"Restack provides the developer tools and cloud infrastructure to bring AI products into production in minutes, not months.",Developer Platform,Restack Developer Platform startup website,,,,
beeBlum,"Feb 20, 2020","Wiesloch, Baden-Wurttemberg,","B2B, Collaboration, Innovation Management,,,,",1-10,1,"€200,000",Pre-Seed,"Oct 4, 2019","€200,000",—,—,Ideation & Knowledge work framework for agile teams and corporations,B2B,beeBlum B2B startup website,,,,
Dadan,2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,"$176,000",Pre-Seed,"Sep 2, 2024","$176,000",—,—,Dadan is an innovative screen recording and video creation platform,Artificial Intelligence (AI),Dadan Artificial Intelligence (AI) startup website,,,,
EcoBeam,2022,"Hamburg, Hamburg, Germany",Web Development,11-50,1,"€15,000",Pre-Seed,"Aug 11, 2022","€15,000",1,—,Ecobeam is a p2p for a greener future through improved resource allocation and a better climate.,Web Development,EcoBeam Web Development startup website,,,631,1000.0
MHSP Global Solutions,"Mar 3, 2022","Essen, Nordrhein-Westfalen, Germany","Outsourcing, Product Management,",1-10,1,"€125,000",Pre-Seed,"Mar 22, 2022","€125,000",2,—,"We provide world-class tech teams and solutions by sourcing, upskilling and enabling talent.",Outsourcing,MHSP Global Solutions Outsourcing startup website,,,,124.0
boost,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Computer Vision,,,,,",1-10,1,"€120,000",Pre-Seed,"Jan 1, 2020","€120,000",—,—,ai based personal fitness assistant,Artificial Intelligence (AI),boost Artificial Intelligence (AI) startup website,,,,23000.0
Daliado,"Apr 1, 2021","Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Real Estate,",11-50,2,"$100,000",Pre-Seed,"Aug 27, 2021","$80,000",—,1,Flexible tokenized Second Home co-owning,Blockchain,Daliado Blockchain startup website,,"4,279",,9000.0
ProcessM,2020,"Aachen, Nordrhein-Westfalen,","Business Intelligence, Data Integration,",1-10,1,"€30,000",Pre-Seed,"Oct 1, 2020","€30,000",1,—,ProcessM provides process mining tools for microsoft power BI users.,Business Intelligence,ProcessM Business Intelligence startup website,,,599,228.0
Unikraft,2021,"Heidelberg, Baden-Wurttemberg,","Cloud Computing, Virtualization",11-50,1,—,Pre-Seed,"Mar 23, 2023",—,2,2,The lightweight virtualization company.,Cloud Computing,Unikraft Cloud Computing startup website,,,,1000.0
Debtist,"Mar 21, 2023","Frankfurt, Hessen, Germany","Debt Collections, Embedded Software,,",11-50,1,—,Pre-Seed,"Oct 5, 2023",—,5,3,"Debtist is the one-stop shop for receivables management and debt collection in the fintech, e-commerce and software sectors",Debt Collections,Debtist Debt Collections startup website,,6,,2000.0
formbricks,2022,"Kiel, Schleswig-Holstein, Germany","Embedded Software, Software,",1-10,2,—,Pre-Seed,"Nov 1, 2023",—,3,3,Formbricks is a micro-survey solution that is open source.,Embedded Software,formbricks Embedded Software startup website,,"1,885",,
Vestlane,2022,"Berlin, Berlin, Germany","Angel Investment, Asset Management,,,,",11-50,1,—,Pre-Seed,"Sep 1, 2023",—,—,—,Vestlane is the private market transactions and fundraising platform.,Angel Investment,Vestlane Angel Investment startup website,,17,,
Bruin,2023,"Berlin, Berlin, Germany","Analytics, Data Management, Database,",1-10,1,—,Pre-Seed,"Oct 8, 2023",—,1,—,Bruin is an online platform for data analysts that allows online data transformation with SQL and Python without any custom code.,Analytics,Bruin Analytics startup website,,12,,1000.0
Terramate,"May 15, 2023","Berlin, Berlin, Germany","Cloud Computing, Cloud Management,,,",11-50,1,—,Pre-Seed,"May 15, 2023",—,1,3,Terramate helps implement and maintain highly scalable Terraform projects.,Cloud Computing,Terramate Cloud Computing startup website,,218,,3000.0
StrategyBridgeAI,2022,"Munich, Bayern, Germany",Artificial Intelligence (AI),11-50,1,—,Pre-Seed,"Dec 3, 2024",—,3,—,StrategyBridgeAI technology provides automated business assessments that capture all necessary facts for informed decision-making.,Artificial Intelligence (AI),StrategyBridgeAI Artificial Intelligence (AI) startup website,,,,3000.0
roofline,"Mar 5, 2024","Aachen, Nordrhein-Westfalen,","Artificial Intelligence (AI), Machine Learning,,",1-10,1,—,Pre-Seed,"Jun 1, 2024",—,1,—,"On the mission to make AI deployment at the edge flexible, efficient, and easy.",Artificial Intelligence (AI),roofline Artificial Intelligence (AI) startup website,,,,
