Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
MOXI,"Aug 18, 2021","Hanover, Niedersachsen, Germany","Health Care, Social Impact, Software,",1-10,3,"€400,000",Seed,"Dec 31, 2023","€250,000",1,—,MOXI provides a platform for booking and coordinating patient transportation.,Health Care,MOXI Health Care startup website,,,,
Xound,May 2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), SaaS,",1-10,1,"€120,000",Seed,"Jun 6, 2023","€120,000",1,—,"Xound is an AI voice cleaner and background noise remover for content creators, podcasters, YouTubers, and Tiktokers.",Artificial Intelligence (AI),Xound Artificial Intelligence (AI) startup website,,10.8K,,69000.0
AVAILY,Oct 2021,"Duisburg, Nordrhein-Westfalen,","Information Technology, PaaS,,,,",11-50,2,"€250,000",Seed,"Feb 1, 2022","€200,000",3,—,AVAILY is a sustainable platform that enables the realization of all New Work concepts.,Information Technology,AVAILY Information Technology startup website,,,,261.0
Unifai,Oct 2020,"Muenchen, Bayern, Germany","Management Information Systems,,,",1-10,2,"€1,100,000",Seed,"Nov 1, 2021","€900,000",2,—,Unifai offers a SaaS solution to help hospitality providers to digitalize their hotel.,Management Information Systems,Unifai Management Information Systems startup website,,55,,8000.0
Hezo Sports,2022,"Saarbrücken, Saarland, Germany","E-Commerce, Manufacturing,",1-10,2,"$842,000",Seed,"Sep 1, 2023",—,—,—,"Hezo democratizes shoe manufacturing. For measuring they use an app. After this a 3D shoe model is generated, which is produced by 3D Print",E-Commerce,Hezo Sports E-Commerce startup website,,,,
Liga der Roboter,"Oct 1, 2022","Munich, Bayern, Germany","EdTech, Edutainment, STEM Education",51-100,3,"€355,000",Seed,"Sep 2, 2024","€140,000",—,—,Network No.1 for Robotics Kids’ Clubs in Germany,EdTech,Liga der Roboter EdTech startup website,,,,499.0
dealcode AI,"Apr 8, 2021","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Lead Generation,,,,,,",11-50,3,"$3,017,016",Seed,"Jun 20, 2023","$1,888,000",5,—,End-to-End Sales Automation,Artificial Intelligence (AI),dealcode AI Artificial Intelligence (AI) startup website,,48,,1000.0
Ahead App,2020,"Berlin, Berlin, Germany",E-Learning,1-10,2,"€1,120,000",Seed,"Nov 4, 2022",—,11,3,"Ahead is a personalized pocket coach that provides bite-sized, science-driven tools to boost emotional intelligence.",E-Learning,Ahead App E-Learning startup website,,,,
OWWN,2021,"Berlin, Berlin, Germany","Apps, Banking, Financial Services,,",11-50,4,"€5,000,000",Seed,"Jun 10, 2021","€5,000,000",13,2,OWWN is a banking app that provides a one-stop shop for young adults to manage their finances.,Apps,OWWN Apps startup website,,,,
Babiot,2020,"Essen, Nordrhein-Westfalen, Germany","Electronics, Information Technology,,,",11-50,1,"€2,000,000",Seed,"Aug 8, 2022","€2,000,000",3,—,Babiot develops electronics online tools to access control and tracking systems.,Electronics,Babiot Electronics startup website,,1,,429.0
