Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Acalta,"Jan 11, 2021","Erlangen, Bayern, Germany","Health Care, Software",1-10,1,—,Pre-Seed,"Mar 11, 2022",—,1,1,Acalta is software for digital networking between patients and medical specialists.
Buildery,"Jun 25, 2024","Berlin, Berlin, Germany","Software, Web Development",1-10,1,—,Pre-Seed,"Aug 25, 2024",—,—,—,Modern low-code website builder
EasyQuant,"Jan 22, 2021","Berlin, Berlin, Germany","FinTech, Software, Trading Platform",1-10,1,—,Pre-Seed,"Dec 1, 2021",—,1,—,The first broker that gives you feedback and recommendations
Lichtwart,2020,"Herford, Nordrhein-Westfalen,","Cloud Computing, Internet of Things",1-10,1,—,Pre-Seed,"Sep 13, 2024",—,3,—,Lichtwart is a startup that creates a cloud control platform for efficiently controlling and maintaining lighting systems.
Deep LS,"Nov 26, 2021","Limburg, Hessen, Germany","Artificial Intelligence (AI), Bioinformatics,,,,",1-10,1,—,Pre-Seed,"Jan 1, 2022",—,—,—,"ML, AI, Drug Discovery"
Verbally,Jan 2021,"Berlin, Berlin, Germany","Consulting, Information Technology,",11-50,1,—,Pre-Seed,"Apr 20, 2021",—,2,—,Verbally develops and sales of software in the field of communication analysis.
One Coworking,2022,"Berlin, Berlin, Germany","Apps, Coworking, Environmental Consulting",1-10,1,—,Pre-Seed,"Nov 1, 2023",—,1,—,One Coworking is an app that creates hybrid work environments.
Alocai GmbH,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Gaming,,",11-50,1,—,Pre-Seed,"Mar 16, 2021",—,—,—,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.
VYBE Beauty,"Dec 29, 2022","Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Beauty,,,,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,—,Developing and marketing the next generation of beauty consumer technologies.
Nonfig,Mar 2020,"Berlin, Berlin, Germany","B2B, Content Marketing, Software",1-10,1,—,Pre-Seed,"Mar 10, 2020",—,—,—,Nonfig is a configuration management platform that unifies business configurations.
IUNA.AI,Jun 2020,"Untergruppenbach, Baden-Wurttemberg,",Artificial Intelligence (AI),11-50,1,—,Pre-Seed,"Apr 7, 2022",—,1,—,IUNA.AI provides AI vision systems for industrial manufacturing.
Dissecto,"Apr 29, 2022","Regensburg, Bayern, Germany",Cyber Security,1-10,1,—,Pre-Seed,"Oct 28, 2022",—,1,—,"Dissecto is a security diagnostics, analytics, and solutions."
AcceleratorMatch,"Jan 1, 2023","Cologne, Nordrhein-Westfalen,","Information Technology, Service Industry,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,—,—,"Accelerator applications, on auto-pilot."
DeepImmo,"Jun 18, 2020","Munich, Bayern, Germany","Real Estate, Software",1-10,1,—,Pre-Seed,"May 23, 2022",—,—,—,DeepImmo offers real estate location analysis.
Character,Aug 2021,"Emmelshausen, Rheinland-Pfalz,","Consumer Software, Social, Software",1-10,1,—,Pre-Seed,"Aug 2, 2021",—,1,—,Friend-finding app based on thought-provoking questions
mySHOEFITTER,Aug 2020,"Hamm, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), E-Commerce,",1-10,1,—,Pre-Seed,"Oct 5, 2020",—,1,—,mySHOEFITTER is a biometric foot measurement technology for mobile devices.
TOOLUP,"Jan 2, 2021","Berlin, Berlin, Germany","Identity Management, Productivity Tools,",1-10,1,—,Pre-Seed,"Mar 1, 2021",—,—,—,"TOOLUP is a SaaS tools, identity, and invoice management app."
