Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Genaios,"Oct 1, 2023","Nuremberg, Bayern, Germany","Artificial Intelligence (AI), Education,,",11-50,1,"€10,000,000",Pre-Seed,"Oct 1, 2023","€10,000,000",1,8,"AI powered fact-checker, AI detector and Originality Scanner",Artificial Intelligence (AI),Genaios Artificial Intelligence (AI) startup website,,33,,704.0
AGX World,"Sep 1, 2021","Berlin, Berlin, Germany","Data Integration, Information Technology,,,",11-50,1,"$2,500,000",Pre-Seed,"Sep 10, 2022","$2,500,000",1,—,AGX is building a global collaboration platform for the logistics industry. We replace emails & Excel between the often 15 parties involved.,Data Integration,AGX World Data Integration startup website,,,,4000.0
Hyperaktiv.ai,"Sep 28, 2021","Berlin, Berlin, Germany","Analytics, Big Data, Business Intelligence,,,",1-10,1,"€550,000",Pre-Seed,"Feb 15, 2022","€550,000",4,1,"Growth copilot for PLG SaaS - Segment, activate & convert your users",Analytics,Hyperaktiv.ai Analytics startup website,,,,982.0
SILX,"Jan 1, 2024","Berlin, Berlin, Germany","Recruiting, Software",1-10,1,"$1,500,000",Pre-Seed,"Feb 3, 2024","$1,500,000",1,—,"Simplifying Applications for All - A user-friendly platform revolutionizing the application process. Effortlessly create, manage, and review",Recruiting,SILX Recruiting startup website,,13,,8.0
unea,2021,"Berlin, Berlin, Germany","Enterprise Software, SaaS, Software",11-50,1,"$2,300,000",Pre-Seed,"Feb 22, 2022","$2,300,000",11,—,"unea is a platform for business collaborations, bookings, and payments.",Enterprise Software,unea Enterprise Software startup website,,,,
Vivian Lab,2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,",11-50,1,"€300,000",Pre-Seed,"Sep 18, 2024","€300,000",1,—,Vivian Lab is a women's digital health startup.,Artificial Intelligence (AI),Vivian Lab Artificial Intelligence (AI) startup website,,,,
l1r1,"Sep 30, 2021","Berlin, Berlin, Germany","Accounting, Artificial Intelligence (AI),",11-50,1,"€1,300,000",Pre-Seed,"Oct 30, 2022","€1,300,000",3,—,Developing heylara.de the first Conversation Business Automation (CBA) solution,Accounting,l1r1 Accounting startup website,,,,
Februar,2022,"Berlin, Berlin, Germany","Bitcoin, Cryptocurrency, FinTech,,",1-10,1,"€1,500,000",Pre-Seed,"Oct 31, 2022","€1,500,000",10,1,Februar provides payment infrastructure for Web3 and digital payments.,Bitcoin,Februar Bitcoin startup website,,,,
ACTIMI,"Jun 30, 2021","Stuttgart, Baden-Wurttemberg,","Health Care, Medical Device, Software",11-50,2,"€378,000",Pre-Seed,"Oct 4, 2021","€200,000",—,—,ACTIMI develops a remote patient monitoring platform for chronic diseases.,Health Care,ACTIMI Health Care startup website,,,,3000.0
DLT (short for data load tool),"Jul 20, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Open Source",1-10,1,"$1,500,000",Pre-Seed,"Jul 20, 2023","$1,500,000",3,—,"DLT short for data load tool building exactly that open-source python library that it claims, is designed for this new wave of AI.",Artificial Intelligence (AI),DLT (short for data load tool) Artificial Intelligence (AI) startup website,,,,7000.0
Fliz,2023,"Berlin, Berlin, Germany","Finance, Financial Services, FinTech,",1-10,1,"€100,000",Pre-Seed,"Apr 22, 2024","€100,000",1,—,Fliz is a fintech company that provides users with a secure online payment platform that is free of any additional fees.,Finance,Fliz Finance startup website,,,,
