Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Reonic,2021,"Augsburg, Bayern, Germany","Renewable Energy, SaaS, Software,",11-50,2,"€13,000,000",Series A,"Sep 4, 2024","€13,000,000",3,2,Reonic is a climate-tech software company that focuses on renewable energy solutions.
LI.FI,Aug 2021,"Berlin, Berlin, Germany","Blockchain, Finance, Financial Services,,,",11-50,2,"$23,000,000",Series A,"Mar 30, 2023","$17,500,000",33,23,LI.FI builds a multi-chain DeFi middleware for the application layer.
Flower Labs,2023,"Hamburg, Hamburg, Germany","Machine Learning, Open Source,,",11-50,2,"$23,600,000",Series A,"Feb 15, 2024","$20,000,000",9,19,"Flower is a federated learning, analytics, and evaluation platform."
bunch,Nov 2021,"Berlin, Berlin, Germany","Financial Services, FinTech, Software",11-50,2,"$22,894,397",Series A,"Jul 25, 2024","$15,500,000",11,7,bunch technology is the Operating System for private markets.
Plancraft,Feb 2020,"Hamburg, Hamburg, Germany",SaaS,11-50,2,"€14,100,000",Series A,"Jun 5, 2024","€12,000,000",6,8,easy SaaS for craftsmen & contractors
Heyflow,Feb 2020,"Hamburg, Hamburg, Germany",Software,11-50,3,"$22,000,000",Series A,"Feb 23, 2024","$16,000,000",5,17,Heyflow is a platform for interactive user experiences that requires no coding.
Y42,2020,"Berlin, Berlin, Germany","Analytics, Business Intelligence,,,,",51-100,2,"$33,900,000",Series A,"Oct 25, 2021","$31,000,000",4,11,Y42 is the first fully managed Modern DataOps Cloud for production-ready data pipelines on top of Google BigQuery and Snowflake.
Banxware,2020,"Berlin, Berlin, Germany","Banking, Financial Services, FinTech,,",51-100,3,"€29,000,000",Series A,"Nov 30, 2023","€15,000,000",11,23,Banxware provides the technology and the funds for business financing of any kind: fully embedded in platforms or as an affiliate solution
Tomorrow University of Applied Sciences,"Nov 1, 2020","Berlin, Berlin, Germany","E-Learning, Education",51-100,3,"€13,800,000",Series A,"Jun 12, 2023","€9,300,000",15,10,"Online university for sustainability, entrepreneurship, and tech. Learn from world-renowned experts."
MARKT-PILOT,Apr 2020,"Esslingen, Baden-Wurttemberg,","Analytics, Machinery Manufacturing,,",51-100,2,"$49,735,894",Series A,"Apr 23, 2024","$43,000,000",2,18,MARKT-PILOT develops software to optimize machine manufacturers' spare parts business through market-driven pricing.
etalytics,2020,"Darmstadt, Hessen, Germany","Artificial Intelligence (AI), Consulting,",11-50,2,"€8,000,000",Series A,"Nov 26, 2024","€8,000,000",4,1,"etalytics offers data-driven energy intelligence solutions using AI. With etaONE®, industries analyze and optimize their energy systems."
Patronus Group,2021,"Berlin, Berlin, Germany","Elderly, Health Care, Information Technology,",51-100,3,"$33,762,032",Series A,"Oct 5, 2022","€27,000,000",11,1,Patronus Group is an elderly well-being company that assists parents and grandparents in living safely and independently in the future.
Cozero,2020,"Berlin, Berlin, Germany","Digital Media, Enterprise Software,,,",11-50,1,"€6,500,000",Series A,"Apr 16, 2024","€6,500,000",7,6,Cozero‘s SaaS empowers companies to decarbonize and boost their business performance.
Knowunity,2020,"Sindelfingen, Baden-Wurttemberg,","E-Learning, Education, Software",51-100,3,"€21,000,000",Series A,"Feb 15, 2023","€9,000,000",13,3,"Knowunity is the digital learning platform with summaries, study notes, presentations, answers and more in one app."
Recyda GmbH,2020,"Freiburg, Baden-Wurttemberg,","Data Management, Fast-Moving Consumer Goods,,,",11-50,3,"€8,050,000",Series A,"Oct 24, 2024","€6,300,000",7,2,Packaging data management and analytics for a circular economy | Recyclability Analysis | EPR-Fee Analysis
