Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
tucan.ai,"Jun 1, 2020","Berlin, Berlin, Germany","Natural Language Processing,,,",11-50,2,—,Pre-Seed,"Sep 20, 2021",—,4,1,Your tool for more productive meetings.
essentry,2020,"Eschborn, Hessen, Germany","Artificial Intelligence (AI), B2B,,,,,",11-50,1,—,Pre-Seed,"Aug 1, 2020",—,1,—,Making identity verification and access management more efficient and secure.
rhome,2022,"Stuttgart, Baden-Wurttemberg,","Employment, Human Resources,,,,",1-10,2,—,Pre-Seed,"Oct 1, 2023",—,1,—,rhome is a SaaS solution that enables instantly analyses and mitigates legal and compliance risks for employees working abroad.
Dance Masterclass,2021,"Berlin, Berlin, Germany","E-Learning, Education, Training",1-10,1,—,Pre-Seed,"Dec 1, 2021",—,1,—,Dance Masterclass is an online dance training platform that allows anyone to learn from the dancers and choreographers in the world.
mavue,2022,"Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Software,",1-10,1,—,Pre-Seed,"Nov 1, 2022",—,1,—,mavue is the sustainability operating system for industrial companies.
FRATCH,"Nov 1, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), B2B,,",1-10,1,—,Pre-Seed,"Nov 1, 2021",—,—,1,"Your AI Assistant to find freelancers and interim managers in seconds – no recruiter calls needed, legally compliant, and cost-efficient"
The Story Market,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Content Creators,,,,",1-10,1,—,Pre-Seed,"Sep 11, 2020",—,1,—,The Story Market provides content syndication and content analytics for publishers and content creators.
Wikimove,2022,"Bamberg, Bayern, Germany","Information Technology, Logistics,,",1-10,1,—,Pre-Seed,"Apr 14, 2022",—,1,—,Wikimove develops and creates a digital tool that shares visual reference of mobility status and transportation services.
ONINO,"Dec 21, 2021","Karlsruhe, Baden-Wurttemberg,","Blockchain, Data Storage, IT Infrastructure",1-10,1,—,Pre-Seed,"Apr 20, 2023",—,1,—,ONINO is building a graph-based decentralized network and helps companies leverage the power of Blockchain & Tokenization.
Codio Impact,"Feb 2, 2022","Berlin, Berlin, Germany","SaaS, Software, Sustainability",1-10,1,—,Pre-Seed,"Feb 8, 2022",—,3,—,"Codio Impact automates the way companies collect, manage and report their Environmental, Social, Governance (ESG) data."
RevoAI GmbH,2021,"Karlsruhe, Baden-Wurttemberg,","Information Technology, Software",1-10,3,—,Pre-Seed,"Aug 1, 2022",—,2,—,We enable engineers to deliver incredible products. Faster.
Visiocue,"Apr 15, 2024","Berlin, Berlin, Germany","Air Transportation, Artificial Intelligence (AI),,",1-10,1,—,Pre-Seed,"Apr 15, 2024",—,1,—,Visiocue is an AI startup improving airport logistics by preventing human errors in the BHS. Funded by BEUMER Group
Abowire,2020,"Berlin, Berlin, Germany","Information Technology, Internet,,,",11-50,1,—,Pre-Seed,"Jan 1, 2021",—,1,—,Abowire is an expert-driven solution to scale your recurring revenue. We fast-track your journey to subscription success.
Zenesis,2021,"Leipzig, Sachsen, Germany","Software, Web Development",1-10,1,—,Pre-Seed,"Oct 15, 2024",—,3,—,Zenesis intends to change the way engineering planning processes are carried out.
Ivy Protocol,2022,"Berlin, Berlin, Germany","Cryptocurrency, Funding Platform,",1-10,1,—,Pre-Seed,"Apr 13, 2022",—,1,—,Ivy Protocol is a carbon offset projects with the funding and resources.
mysupply,2020,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Procurement,,,",11-50,1,—,Pre-Seed,"Apr 6, 2022",—,1,—,"SaaS, Procurement, Tender Process, Supplier Search, Offer Evaluation, Strategy Engine, Automized Negotiations, Lot Creation, AI"
focused ai,"Aug 6, 2021","Ingelheim Am Rhein, Rheinland-Pfalz,","Artificial Intelligence (AI), Information Technology,",1-10,1,—,Pre-Seed,"Aug 6, 2021",—,3,1,AI-powered information distribution hub for construction companies: Making sure that all info finally ends up where it is supposed to be.
Heyrecruit,"May 8, 2020","Frankfurt, Hessen, Germany","Human Resources, Software",11-50,1,—,Pre-Seed,"Apr 1, 2021",—,1,—,Heyrecruit is an app that supports clients in the selection and communication with applicants.
Advoria,"Aug 29, 2023","Berlin, Berlin, Germany","Artificial Intelligence (AI), Legal,,,",1-10,1,—,Pre-Seed,"Oct 19, 2023",—,—,—,Online appointment booking for the successful law firm.
AIVITEX,May 2020,"Berlin, Berlin, Germany",Software,1-10,2,—,Pre-Seed,"Mar 1, 2022",—,—,—,We enable frontline workers to replace on-site visits with a video-aided software and to combine it with typical workflows.
Journeyman,2020,"Berlin, Berlin, Germany","Career Planning, Communities,,,,",11-50,1,—,Pre-Seed,"Dec 15, 2020",—,2,1,The leading career - and workforce management platform for the skilled trades
ShopVibes,2020,"Munich, Bayern, Germany",Software,1-10,1,—,Pre-Seed,"Nov 22, 2022",—,5,—,ShopVibes is a SaaS-based product information management company.
myhome.io,"May 31, 2023","Düsseldorf, Nordrhein-Westfalen,","PropTech, Real Estate, Software",1-10,1,—,Pre-Seed,"Apr 1, 2024",—,—,—,"SaaS, Mobile App, Prop Tech, Real estate portal"
Go Tiger,2022,"Berlin, Berlin, Germany","Apps, Delivery, E-Commerce, Grocery",11-50,1,—,Pre-Seed,"Apr 21, 2022",—,5,—,Go Tiger delivers groceries online.
Pointly,2021,"Berlin, Berlin, Germany","3D Technology, Analytics, Artificial Intelligence (AI),,,,,,,",1-10,2,—,Pre-Seed,"Nov 2, 2023",—,—,—,Pointly is a 3D point cloud classification platform offering AI techniques and tailor-made 3D AI solutions.
Pigtie,2020,"Munich, Bayern, Germany","Finance, FinTech, Mobile Apps,",1-10,2,—,Pre-Seed,"Aug 4, 2022",—,1,1,Pigtie is an app that enables people to start investing and tackle their whole financial planning.
