Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Acalta,"Jan 11, 2021","Erlangen, Bayern, Germany","Health Care, Software",1-10,1,—,Pre-Seed,"Mar 11, 2022",—,1,1,Acalta is software for digital networking between patients and medical specialists.,Health Care,Acalta Health Care startup website,,"5,935",,136000.0
Buildery,"Jun 25, 2024","Berlin, Berlin, Germany","Software, Web Development",1-10,1,—,Pre-Seed,"Aug 25, 2024",—,—,—,Modern low-code website builder,Software,Buildery Software startup website,,,,
EasyQuant,"Jan 22, 2021","Berlin, Berlin, Germany","FinTech, Software, Trading Platform",1-10,1,—,Pre-Seed,"Dec 1, 2021",—,1,—,The first broker that gives you feedback and recommendations,FinTech,EasyQuant FinTech startup website,,,,130.0
Lichtwart,2020,"Herford, Nordrhein-Westfalen,","Cloud Computing, Internet of Things",1-10,1,—,Pre-Seed,"Sep 13, 2024",—,3,—,Lichtwart is a startup that creates a cloud control platform for efficiently controlling and maintaining lighting systems.,Cloud Computing,Lichtwart Cloud Computing startup website,,,,
Deep LS,"Nov 26, 2021","Limburg, Hessen, Germany","Artificial Intelligence (AI), Bioinformatics,,,,",1-10,1,—,Pre-Seed,"Jan 1, 2022",—,—,—,"ML, AI, Drug Discovery",Artificial Intelligence (AI),Deep LS Artificial Intelligence (AI) startup website,,257.5K,,1000000.0
Verbally,Jan 2021,"Berlin, Berlin, Germany","Consulting, Information Technology,",11-50,1,—,Pre-Seed,"Apr 20, 2021",—,2,—,Verbally develops and sales of software in the field of communication analysis.,Consulting,Verbally Consulting startup website,,,,
One Coworking,2022,"Berlin, Berlin, Germany","Apps, Coworking, Environmental Consulting",1-10,1,—,Pre-Seed,"Nov 1, 2023",—,1,—,One Coworking is an app that creates hybrid work environments.,Apps,One Coworking Apps startup website,,702,,2000.0
Alocai GmbH,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Gaming,,",11-50,1,—,Pre-Seed,"Mar 16, 2021",—,—,—,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.,Artificial Intelligence (AI),Alocai GmbH Artificial Intelligence (AI) startup website,,18,,905.0
VYBE Beauty,"Dec 29, 2022","Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Beauty,,,,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,—,Developing and marketing the next generation of beauty consumer technologies.,Artificial Intelligence (AI),VYBE Beauty Artificial Intelligence (AI) startup website,,,,
Nonfig,Mar 2020,"Berlin, Berlin, Germany","B2B, Content Marketing, Software",1-10,1,—,Pre-Seed,"Mar 10, 2020",—,—,—,Nonfig is a configuration management platform that unifies business configurations.,B2B,Nonfig B2B startup website,,,,
IUNA.AI,Jun 2020,"Untergruppenbach, Baden-Wurttemberg,",Artificial Intelligence (AI),11-50,1,—,Pre-Seed,"Apr 7, 2022",—,1,—,IUNA.AI provides AI vision systems for industrial manufacturing.,Artificial Intelligence (AI),IUNA.AI Artificial Intelligence (AI) startup website,,,,456.0
Dissecto,"Apr 29, 2022","Regensburg, Bayern, Germany",Cyber Security,1-10,1,—,Pre-Seed,"Oct 28, 2022",—,1,—,"Dissecto is a security diagnostics, analytics, and solutions.",Cyber Security,Dissecto Cyber Security startup website,,,,797.0
AcceleratorMatch,"Jan 1, 2023","Cologne, Nordrhein-Westfalen,","Information Technology, Service Industry,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,—,—,"Accelerator applications, on auto-pilot.",Information Technology,AcceleratorMatch Information Technology startup website,,,,
DeepImmo,"Jun 18, 2020","Munich, Bayern, Germany","Real Estate, Software",1-10,1,—,Pre-Seed,"May 23, 2022",—,—,—,DeepImmo offers real estate location analysis.,Real Estate,DeepImmo Real Estate startup website,,,,795.0
Character,Aug 2021,"Emmelshausen, Rheinland-Pfalz,","Consumer Software, Social, Software",1-10,1,—,Pre-Seed,"Aug 2, 2021",—,1,—,Friend-finding app based on thought-provoking questions,Consumer Software,Character Consumer Software startup website,,15.5K,,
mySHOEFITTER,Aug 2020,"Hamm, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), E-Commerce,",1-10,1,—,Pre-Seed,"Oct 5, 2020",—,1,—,mySHOEFITTER is a biometric foot measurement technology for mobile devices.,Artificial Intelligence (AI),mySHOEFITTER Artificial Intelligence (AI) startup website,,,,1000.0
TOOLUP,"Jan 2, 2021","Berlin, Berlin, Germany","Identity Management, Productivity Tools,",1-10,1,—,Pre-Seed,"Mar 1, 2021",—,—,—,"TOOLUP is a SaaS tools, identity, and invoice management app.",Identity Management,TOOLUP Identity Management startup website,,,,
Mimetik,2020,"Dresden, Sachsen, Germany",Software,1-10,1,—,Pre-Seed,"Jan 25, 2021",—,1,1,Mimetik is s a software startup for seamless interactions with millions of devices.,Software,Mimetik Software startup website,,,,877.0
priofy,"Jan 1, 2024","Erfurt, Thuringen, Germany","Financial Services, Software",1-10,1,—,Pre-Seed,"Jan 1, 2024",—,—,—,SaaS based project and financial management software: Efficiently manage the finances and costs of all your projects – in one place.,Financial Services,priofy Financial Services startup website,,1,,10.0
Mate Software GmbH,2020,"Bielefeld, Nordrhein-Westfalen,","Marketing, Software",11-50,1,—,Pre-Seed,"Aug 1, 2022",—,—,1,"We enable marketers, agencies and all other human beings to produce awesome content – without any design effort.",Marketing,Mate Software GmbH Marketing startup website,,,,
Intentify,2022,"Cologne, Nordrhein-Westfalen,","Software, Web Development",1-10,1,—,Pre-Seed,"Feb 14, 2024",—,3,—,Intentify is dApps' intent-centric middle layer.,Software,Intentify Software startup website,,198,,13000.0
Hotelbuuk Technologies,"Jan 4, 2022","Berlin, Berlin, Germany","Food Delivery, Hospitality, Hotel,,,,",1-10,1,—,Pre-Seed,"Feb 1, 2022",—,—,—,Book Hotels that offer market insights,Food Delivery,Hotelbuuk Technologies Food Delivery startup website,,,,
Superbryte,2021,"Berlin, Berlin, Germany","Consulting, Education, Software,",—,1,—,Pre-Seed,"Sep 20, 2021",—,1,—,"Superbryte we are building a universal, digital suite for coaches, teachers, educators and instructors.",Consulting,Superbryte Consulting startup website,,45.3K,,114000.0
vCOACH,"Jan 1, 2020","Munich, Bayern, Germany","Mobile Apps, Software",1-10,1,—,Pre-Seed,"May 17, 2021",—,4,2,vCOACH helps in building a consumer mobile app for getting access to personal skill improvement.,Mobile Apps,vCOACH Mobile Apps startup website,,"1,156",,2000.0
MeTalent,"Sep 14, 2022","Stuttgart, Baden-Wurttemberg,","Automotive, Education, Finance,,,,,",1-10,1,—,Pre-Seed,"Jul 16, 2023",—,1,—,"We are a group of ambitious Ukrainians, who created a platform to quickly and simply bind businesses and talents from IT",Automotive,MeTalent Automotive startup website,,"4,403",,105000.0
Shiawa,2021,"Stuttgart, Baden-Wurttemberg,","Apps, Mobile Apps, Software",1-10,1,—,Pre-Seed,"Jan 1, 2022",—,1,—,"SHIAWA GmbH offers web-based solutions for office management, including desk booking and meeting organization.",Apps,Shiawa Apps startup website,,,,
goCAD,"Sep 6, 2021","Stuttgart, Baden-Wurttemberg,","E-Commerce Platforms, Manufacturing,,",1-10,1,—,Pre-Seed,"Oct 5, 2021",—,1,—,The plug & play SaaS order portal for CNC manufacturers with instant price quotes.,E-Commerce Platforms,goCAD E-Commerce Platforms startup website,,,,356.0
eye2you,"Apr 21, 2020","Tübingen, Baden-Wurttemberg,","Artificial Intelligence (AI), Health Care,,",1-10,1,—,Pre-Seed,"May 1, 2021",—,—,—,eye2you is a medical AI for retinal examinations.,Artificial Intelligence (AI),eye2you Artificial Intelligence (AI) startup website,,252,,
HumanAIze,"Mar 28, 2022","Berlin, Berlin, Germany",Artificial Intelligence (AI),1-10,1,—,Pre-Seed,"Oct 6, 2022",—,1,—,HumanAIze offers empathetic AI to unlock the power of people and culture.,Artificial Intelligence (AI),HumanAIze Artificial Intelligence (AI) startup website,,,,
up.lftd,"Jul 20, 2021","Berlin, Berlin, Germany","Human Resources, SaaS, Software",1-10,1,—,Pre-Seed,"Dec 13, 2021",—,1,—,"SaaS for feedback, performance management and people development",Human Resources,up.lftd Human Resources startup website,,,,458.0
