Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Optimo,2021,"Berlin, Berlin, Germany","B2B, EdTech, SaaS, Web Apps",1-10,1,"$120,000",Pre-Seed,"Apr 4, 2022","$120,000",1,—,Optimo is a B2B SaaS and EdTech company that provides blue-collar workers with peer-to-peer gamified learning.,B2B,Optimo B2B startup website,,,,315.0
Insightful,2021,"Berlin, Berlin, Germany","Digital Entertainment, EdTech,",1-10,1,"€170,000",Pre-Seed,"Sep 22, 2021","€170,000",1,1,Insightful is an application that provides educational videos.,Digital Entertainment,Insightful Digital Entertainment startup website,,466,,4000.0
bNear,Mar 2022,"Köln, Nordrhein-Westfalen, Germany",Software,1-10,2,"€700,000",Pre-Seed,"May 30, 2023",—,3,2,"SaaS, Enterprise Software, New Work",Software,bNear Software startup website,,,,
Modoplus,2021,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Information Technology,",11-50,1,"€550,000",Pre-Seed,"Aug 19, 2022","€550,000",—,—,Modoplus is a cloud-based AI platform that helps real estate developers to plan in the early stage of development.,Artificial Intelligence (AI),Modoplus Artificial Intelligence (AI) startup website,,24,585,2000.0
UseCodify,"Oct 11, 2022","Berlin, Berlin, Germany","Information Technology, Software",1-10,3,"$26,155",Pre-Seed,"Mar 21, 2024","€8,000",1,—,UseCodify is a digital business management that track record of brands scaling profitably based on high-performing strategies.,Information Technology,UseCodify Information Technology startup website,,,,543.0
Kansi Solutions,"Aug 2, 2021","Namborn, Saarland, Germany","Cryptocurrency, Telecommunications",1-10,1,"$500,000",Pre-Seed,"Sep 15, 2021","$500,000",—,2,Decentralized Mining Solutions,Cryptocurrency,Kansi Solutions Cryptocurrency startup website,,903,,
meinAdmin,"Jan 1, 2020","Leipzig, Sachsen, Germany","Information Technology, Machine Learning,",11-50,1,"€280,000",Pre-Seed,"Dec 15, 2019","€280,000",1,—,meinAdmin provides AI driven managed services.,Information Technology,meinAdmin Information Technology startup website,,,,
Pollinations,2021,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency",1-10,1,"$100,000",Pre-Seed,"Apr 27, 2022","$100,000",1,1,Pollinations is the platform for creating AI tech developing tools.,Blockchain,Pollinations Blockchain startup website,,,,
Pillio,2022,"Berlin, Berlin, Germany","Electronic Health Record (EHR),,",1-10,1,"€100,000",Pre-Seed,"Mar 31, 2022","€100,000",1,—,Pillio simplifies healthcare by connecting providers through one platform to facilitate a patient-centric health experience.,Electronic Health Record (EHR),Pillio Electronic Health Record (EHR) startup website,,,,
Additive Scale,"Apr 1, 2021","Krailling, Bayern, Germany","3D Printing, Eyewear, Software",1-10,1,"€1,000,000",Pre-Seed,"Apr 1, 2021","€1,000,000",—,—,Our proprietary technology allows to produce 3D printed eyewear with mind-blowing quality from one to million units. Made in Germany.,3D Printing,Additive Scale 3D Printing startup website,,,,
Whal3s,2022,"Berlin, Berlin, Germany","Software, Web3",1-10,1,"$100,000",Pre-Seed,"Sep 21, 2022","$100,000",1,—,Whal3s offers a comprehensive solution for seamlessly integrating Web3 technology into one's website or app.,Software,Whal3s Software startup website,,378,,
heronOS,"May 27, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,"€250,000",Pre-Seed,"Mar 1, 2021","€250,000",1,—,HeronOS is an information technology company.,Artificial Intelligence (AI),heronOS Artificial Intelligence (AI) startup website,,,,690.0
MARA,"Mar 31, 2020","Karlsruhe, Baden-Wurttemberg,","Analytics, Artificial Intelligence (AI),,,,,,,,",1-10,1,"€147,000",Pre-Seed,"Apr 1, 2020","€147,000",1,—,"Market research automation, SaaS, NLP, AI, consumer review analysis",Analytics,MARA Analytics startup website,,,,3000.0
PenPal,May 2022,"Berlin, Berlin, Germany","Apps, Communities, Dating, Social Network",1-10,1,"€150,000",Pre-Seed,"Sep 1, 2022","€150,000",—,—,PenPal is a social matching platform for building meaningful relationships with a physical touch.,Apps,PenPal Apps startup website,,,,
Kern AI,"Nov 17, 2020","Eichwalde, Brandenburg, Germany","Artificial Intelligence (AI), Software",1-10,1,"€2,700,000",Pre-Seed,"Feb 16, 2023","€2,700,000",11,6,Kern AI is a data-centric platform to build natural language interfaces.,Artificial Intelligence (AI),Kern AI Artificial Intelligence (AI) startup website,,844,,2000.0
basenode.io,2021,"Berlin, Berlin, Germany","Accounting, Cryptocurrency",1-10,2,"€250,000",Pre-Seed,"Jan 10, 2022","€250,000",1,1,"SaaS, WebApp, Crypto Payments, Accounting",Accounting,basenode.io Accounting startup website,,325,,
BHK Cloud,2022,"Tamm, Baden-Wurttemberg, Germany","Cloud Computing, Cyber Security,,",1-10,3,"$1,100,000",Pre-Seed,"Sep 1, 2023","$150,000",1,—,"BHK Industry is an IT company that specializes in cloud computing, cybersecurity, software development, and advisory services.",Cloud Computing,BHK Cloud Cloud Computing startup website,,9,,
PINSL,Mar 2021,"Munich, Bayern, Germany","Art, Blockchain, Metaverse, Software",11-50,1,"€717,000",Pre-Seed,"Dec 1, 2022","€717,000",—,—,"The most user-friendly, reputable, and compliant NFT platform to bridge the gap between Fine Art and the metaverse.",Art,PINSL Art startup website,,,,
krowdz,2022,"Köln, Nordrhein-Westfalen, Germany","Blockchain, Cryptocurrency, Music",51-100,1,"$100,000",Pre-Seed,"Nov 3, 2022","$100,000",1,—,"Sony Music backed, Krowdz is a fan engagement platform ultimately owned by music artists and their fan communities (fan clubs 3.0).",Blockchain,krowdz Blockchain startup website,,,,
Field,"Apr 22, 2020","Hamburg, Hamburg, Germany","Enterprise Software, Product Management,,",1-10,1,"€500,000",Pre-Seed,"Mar 1, 2021","€500,000",—,—,"SaaS for product teams to establish context awareness, sensemaking and strategic thinking at all levels",Enterprise Software,Field Enterprise Software startup website,,,,
CERPRO,Jun 2023,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Cloud Computing,",1-10,1,"$20,000",Pre-Seed,"Jun 16, 2023","$20,000",1,—,"CERPRO helps reimagining the future of production using artificial intelligence, and cloud computing technologies.",Artificial Intelligence (AI),CERPRO Artificial Intelligence (AI) startup website,,,,
PnPAI,"Apr 17, 2023","Munich, Bayern, Germany","Artificial Intelligence (AI), E-Commerce,,,",1-10,1,"$50,000",Pre-Seed,"Jun 1, 2023","$50,000",1,—,"AIaaS platform for small and medium businesses. Industry-focused solutions for ecommerce, retail, healthcare, finance, and more.",Artificial Intelligence (AI),PnPAI Artificial Intelligence (AI) startup website,,,,658.0
Horizon,"Oct 29, 2021","Mainz, Rheinland-Pfalz, Germany","B2B, Market Research, SaaS, Software",11-50,2,"$1,400,000",Pre-Seed,"Sep 13, 2022","$1,400,000",6,5,Horizon is a B2B SaaS company that offers behavioral consumer data.,B2B,Horizon B2B startup website,,,,904.0
