Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Genaios,"Oct 1, 2023","Nuremberg, Bayern, Germany","Artificial Intelligence (AI), Education,,",11-50,1,"€10,000,000",Pre-Seed,"Oct 1, 2023","€10,000,000",1,8,"AI powered fact-checker, AI detector and Originality Scanner"
AGX World,"Sep 1, 2021","Berlin, Berlin, Germany","Data Integration, Information Technology,,,",11-50,1,"$2,500,000",Pre-Seed,"Sep 10, 2022","$2,500,000",1,—,AGX is building a global collaboration platform for the logistics industry. We replace emails & Excel between the often 15 parties involved.
Hyperaktiv.ai,"Sep 28, 2021","Berlin, Berlin, Germany","Analytics, Big Data, Business Intelligence,,,",1-10,1,"€550,000",Pre-Seed,"Feb 15, 2022","€550,000",4,1,"Growth copilot for PLG SaaS - Segment, activate & convert your users"
SILX,"Jan 1, 2024","Berlin, Berlin, Germany","Recruiting, Software",1-10,1,"$1,500,000",Pre-Seed,"Feb 3, 2024","$1,500,000",1,—,"Simplifying Applications for All - A user-friendly platform revolutionizing the application process. Effortlessly create, manage, and review"
unea,2021,"Berlin, Berlin, Germany","Enterprise Software, SaaS, Software",11-50,1,"$2,300,000",Pre-Seed,"Feb 22, 2022","$2,300,000",11,—,"unea is a platform for business collaborations, bookings, and payments."
Vivian Lab,2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,",11-50,1,"€300,000",Pre-Seed,"Sep 18, 2024","€300,000",1,—,Vivian Lab is a women's digital health startup.
l1r1,"Sep 30, 2021","Berlin, Berlin, Germany","Accounting, Artificial Intelligence (AI),",11-50,1,"€1,300,000",Pre-Seed,"Oct 30, 2022","€1,300,000",3,—,Developing heylara.de the first Conversation Business Automation (CBA) solution
Februar,2022,"Berlin, Berlin, Germany","Bitcoin, Cryptocurrency, FinTech,,",1-10,1,"€1,500,000",Pre-Seed,"Oct 31, 2022","€1,500,000",10,1,Februar provides payment infrastructure for Web3 and digital payments.
ACTIMI,"Jun 30, 2021","Stuttgart, Baden-Wurttemberg,","Health Care, Medical Device, Software",11-50,2,"€378,000",Pre-Seed,"Oct 4, 2021","€200,000",—,—,ACTIMI develops a remote patient monitoring platform for chronic diseases.
DLT (short for data load tool),"Jul 20, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Open Source",1-10,1,"$1,500,000",Pre-Seed,"Jul 20, 2023","$1,500,000",3,—,"DLT short for data load tool building exactly that open-source python library that it claims, is designed for this new wave of AI."
Fliz,2023,"Berlin, Berlin, Germany","Finance, Financial Services, FinTech,",1-10,1,"€100,000",Pre-Seed,"Apr 22, 2024","€100,000",1,—,Fliz is a fintech company that provides users with a secure online payment platform that is free of any additional fees.
Tyles,2022,"Berlin, Berlin, Germany",Software,1-10,2,"€1,400,000",Pre-Seed,"Sep 21, 2022","€1,400,000",11,2,Tyles is a software startup that helps users harness information more efficiently and effectively.
Remi,2021,"Berlin, Berlin, Germany","Computer, Software",1-10,1,"€1,200,000",Pre-Seed,"Jun 16, 2021","€1,200,000",8,3,"The culture building platform to help remote teams build connection, easily and effectively. Join the waitlist."
Companyon Analytics,2020,"Düsseldorf, Nordrhein-Westfalen,","Accounting, Analytics, Consulting,,,,,",11-50,1,"€2,000,000",Pre-Seed,"Sep 21, 2023","€2,000,000",1,—,"Companyon Analytics provides data security, cloud infrastructure, information technology, technical solutions, and consultancy services."
KINNOVIA,"May 10, 2023","Munich, Bayern, Germany","Artificial Intelligence (AI), Automotive,,,,,,",51-100,1,"$200,000",Pre-Seed,"Oct 1, 2024","$200,000",—,1,"Kinnovia offers services in Internet of Things (IoT), Software Defined Vehicle (SDV) and Industry 4.0"
freque,"Mar 22, 2021","Potsdam, Brandenburg, Germany","Film, Music, Software",1-10,2,"€1,200,000",Pre-Seed,"Feb 1, 2024",—,1,3,Music Review For Filmmakers
score4more,"Jan 7, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,,,,,",11-50,1,"€1,500,000",Pre-Seed,"Jan 16, 2022","€1,500,000",—,1,"Transformation Platform, Data Platform, Impact, Sustainability Profiles, Scoring, Benchmarking, Solutions, ESG Data"
charly,Oct 2020,"Berlin, Berlin, Germany","Compliance, Developer Tools,,,,",11-50,2,"$1,553,523",Pre-Seed,"May 1, 2022","€1,000,000",1,1,Charly Group created a hybrid work management framework for individual work levels.
Meetsales,"Dec 10, 2020","Berlin, Berlin, Germany","B2B, Data Visualization, Direct Sales,,,,,,,",1-10,1,"€800,000",Pre-Seed,"Jun 15, 2021","€800,000",8,—,Meetsales - the only headless video-based web app your B2B sales team needs
heyLisa.ai,Sep 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,,,,,,",1-10,1,"€100,000",Pre-Seed,"Sep 30, 2023","€100,000",1,—,Lisa edits real-time based on your feedback and commands — just text her.
Leeana,"Feb 7, 2023","Munich, Bayern, Germany","GreenTech, Software, Sustainability",1-10,1,"$125,000",Pre-Seed,"Jun 3, 2024","$125,000",1,1,The biodiversity platform for the next generation of nature-related action
DataBorg,2020,"Hamburg, Hamburg, Germany","Analytics, Artificial Intelligence (AI),,",1-10,2,"$550,000",Pre-Seed,"Feb 15, 2024","$500,000",1,—,"DataBorg - Better Data, Smarter AIs. Foundation models turning unstructured data into structured data."
