Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
MiViA,2022,"Freiberg, Sachsen, Germany","Analytics, Artificial Intelligence (AI)",1-10,1,—,Seed,"Sep 18, 2023",—,1,—,"At MiViA, we offer microstructural analysis for various sectors and applications using cutting-edge AI technology.",Analytics,MiViA Analytics startup website,,,,999.0
Moonblock,2022,"Munich, Bayern, Germany","Software, Web3",1-10,2,—,Seed,"Jan 17, 2023",—,3,—,Moonblock is a tool to navigate Web3 with the right insights with a Web3 brand intelligence platform.,Software,Moonblock Software startup website,,,,
Hintbox,May 2020,"Koblenz, Rheinland-Pfalz, Germany","Information Technology, Internet,",11-50,1,—,Seed,"Jun 1, 2021",—,1,2,Hintbox is a whistleblower system and hinweisgeber system that offer an ombudsman solution.,Information Technology,Hintbox Information Technology startup website,,,,
kitchX,"Mar 23, 2021","Düsseldorf, Nordrhein-Westfalen,","Architecture, Construction, Home Renovation,",11-50,2,—,Seed,"Nov 23, 2022",—,1,—,The world's first conversational commerce home-renovation advisor - making dream homes a reality,Architecture,kitchX Architecture startup website,,,,
spaciv,2020,"München, Bayern, Germany","Apps, Cloud Infrastructure, Virtual Workforce",1-10,1,—,Seed,"Feb 3, 2022",—,1,—,spaciv offers a cloud-based web-application for the dynamic optimizations of office workplace strategies.,Apps,spaciv Apps startup website,,,,658.0
AR Technology,2020,"Kühstein, Bayern, Germany","Construction, Industrial Manufacturing,,",1-10,1,—,Seed,"Apr 17, 2023",—,2,—,AR-Technology has set the goal of establishing augmented reality (AR) as an industry standard.,Construction,AR Technology Construction startup website,,446,305,5000.0
Elevear,2021,"Aachen, Nordrhein-Westfalen,","Apps, Audio, Augmented Reality,",1-10,1,—,Seed,"Jul 24, 2023",—,1,2,We develop breakthrough audio technologies for your hearables.,Apps,Elevear Apps startup website,,"1,413",,12000.0
VAMOS.ai,2020,"Frankfurt, Hessen, Germany","Analytics, Artificial Intelligence (AI),,",11-50,1,—,Seed,"Jan 1, 2020",—,1,—,VAMOS.ai offers video analytics and media optimization services.,Analytics,VAMOS.ai Analytics startup website,,,8,123.0
Sadaarah,"Oct 17, 2021","Berlin, Berlin, Germany","Business Intelligence, Cloud Data Services,,,",1-10,1,—,Seed,"Feb 1, 2024",—,—,—,"Software company developing easy, reliable, efficient and competitive on-premise and cloud-based data management products and solutions.",Business Intelligence,Sadaarah Business Intelligence startup website,,,,1000.0
Synsor ai,"May 27, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), Machine Learning,,",1-10,1,—,Seed,"Apr 20, 2022",—,1,—,"Quality inspection for manufacturers - low cost, precise, powered by deep learning",Artificial Intelligence (AI),Synsor ai Artificial Intelligence (AI) startup website,,12.4K,,22000.0
