Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Prodlane,2021,"Leipzig, Sachsen, Germany","Generative AI, Product Management,,,",1-10,3,"€760,000",Seed,"Dec 19, 2024",—,3,—,B2B Generative AI Document Search
Ovom Care,Mar 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Fertility,,",1-10,2,"€5,800,000",Seed,"Apr 30, 2024","€4,800,000",3,22,Ovom Care is an AI healthcare based company.
AuditOne,Jul 2022,"Cologne, Nordrhein-Westfalen,","Blockchain, Cyber Security, Information Technology,,,,,",11-50,1,"€800,000",Seed,"Dec 12, 2023","€800,000",3,1,AuditOne is an audit platform that facilitates seamless smart contracts audit process as well as offers Web3-based verification services.
Mercanis,2020,"Berlin, Berlin, Germany","Enterprise Software, Procurement,",1-10,3,"€9,200,000",Seed,"Aug 17, 2023","€9,200,000",11,12,Mercanis offers state-of-the-art software for procurement and sourcing driven by AI.
Octomind,Mar 2023,"Karlsruhe, Baden-Wurttemberg,","Artificial Intelligence (AI), Software,,",1-10,1,"€4,500,000",Seed,"Feb 23, 2024","€4,500,000",4,8,"Octomind is a developer tool using AI to make automated end-to-end testing stable, fast, and affordable."
askui,"Mar 3, 2021","Karlsruhe, Baden-Wurttemberg,","B2B, Information Technology,,",1-10,3,"€6,050,000",Seed,"Aug 30, 2023","€4,300,000",6,17,"SaaS, Software, Test Automation, RPA"
Procuros,2021,"Hamburg, Hamburg, Germany",Software,11-50,3,"$10,181,895",Seed,"Apr 12, 2022","$9,000,000",12,2,Connect Once. Integrate all trade Partners. - The new standard in B2B transactions
repath,"Aug 31, 2021","Hamburg, Hamburg, Germany","GreenTech, Infrastructure, Software,",1-10,4,"€5,142,000",Seed,"Sep 19, 2024","€3,600,000",16,1,"Identify, understand and act on climate risks decades before they happen with repath's SaaS-solution."
Restate,2022,"Berlin, Berlin, Germany",Software,1-10,1,"$7,000,000",Seed,"Jun 10, 2024","$7,000,000",16,—,"Restate build workflows, event-driven applications, and distributed services in a fault-tolerant manner with durable async/await."
Daato,Dec 2021,"Berlin, Berlin, Germany","Information Technology, SaaS,",11-50,2,"€5,000,000",Seed,"Mar 20, 2024","€5,000,000",3,3,Daato is a holistic ESG management platform for enterprises of all sizes.
ZenML,"Jul 6, 2021","Munich, Bayern, Germany","Enterprise Software, Fraud Detection,,,,,,,,",11-50,2,"$6,400,000",Seed,"Oct 23, 2023","$3,700,000",14,19,"an extensible, open-source MLOps framework for reproducible ML"
Secfix,Apr 2021,"Berlin, Berlin, Germany","B2B, Business Development, Cloud Security,,,,,",11-50,2,"$4,500,000",Seed,"Mar 1, 2023","$3,800,000",3,8,"The fast and easy way to get ISO 27001, GDPR, TISAX and SOC 2 compliant | Compliance & Security Automation"
SEMRON,2020,"Dresden, Sachsen, Germany","3D Technology, Artificial Intelligence (AI),",1-10,3,"€7,300,000",Seed,"Jan 30, 2024","€7,300,000",13,14,"SEMRON develops a 3D-scaled AI inference chip, based on a new proven semiconductor device."
VidLab7,2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Generative AI,",1-10,1,"€3,500,000",Seed,"Sep 17, 2024","€3,500,000",1,2,"VidLab7 is a platform focused on synthetic media, specifically tailored for revenue teams."
Evmos,Jun 2021,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency",11-50,1,"$27,000,000",Seed,"Nov 2, 2022","$27,000,000",11,9,Evmos is Ethereum-based applications and assets to the interoperable networks of the Cosmos ecosystem.
Tidely,"Jan 27, 2021","Munich, Bayern, Germany","Finance, Financial Services, FinTech,,",11-50,2,"€4,700,000",Seed,"Mar 9, 2023","€3,500,000",2,2,Tidely is a liquidity planning software with artificial intelligence
DC Connected,"Oct 8, 2020","Nersingen, Bayern, Germany","Analytics, Artificial Intelligence (AI),,,,,,",1-10,3,"€3,200,000",Seed,"Aug 7, 2024","€2,100,000",6,2,"Saas, Artificial Intelligence, Predicitve Analytics, Automotive, Generative AI"
Blockbrain,"May 6, 2022","Stuttgart, Baden-Wurttemberg,","Artificial Intelligence (AI), Business Process Automation (BPA),,,",11-50,3,"€5,000,000",Seed,"Sep 17, 2024","€2,500,000",16,8,SaaS-Plattform für KI-gestütztes Knowledge Management
CONXAI,Feb 2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Computer Vision,,",11-50,2,"€4,700,000",Seed,"Nov 1, 2023","€2,000,000",5,9,AI that understands construction
Nefta,"Dec 1, 2021","Berlin, Berlin, Germany","Blockchain, Gaming, Information Technology,",11-50,2,"$6,000,000",Seed,"Feb 15, 2023","$5,000,000",6,9,Nefta’s disruptive ad-network and pre-mediation solutions deliver superior revenue performance while rebuilding publisher trust in AdTech.
Interloom Technologies,2024,"München, Bayern, Germany","Artificial Intelligence (AI), Software",11-50,1,"$3,000,000",Seed,"Mar 14, 2024","$3,000,000",1,1,Interloom Technologies redefines process automation for an AI future.
