Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Assemblio,2022,"Stuttgart, Baden-Wurttemberg,","Artificial Intelligence (AI), Industrial,,",11-50,1,"€2,100,000",Seed,"Feb 28, 2024","€2,100,000",11,4,Assemblio offers an AI-based software solution for time- and cost-efficient assembly planning,Artificial Intelligence (AI),Assemblio Artificial Intelligence (AI) startup website,,,,4000.0
Kaiko Systems,"Oct 19, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Machine Learning,,,,",251-500,1,"€2,000,000",Seed,"Sep 21, 2022","€2,000,000",6,10,Kaiko Systems is an operational intelligence company that uses AI to turn frontline data into real-time asset health insights.,Artificial Intelligence (AI),Kaiko Systems Artificial Intelligence (AI) startup website,,,,
Sunhat,2022,"Cologne, Nordrhein-Westfalen,","Business Information Systems,,",11-50,2,"€5,000,000",Seed,"Feb 27, 2024","€3,000,000",5,6,Sunhat is an automation tool that combines software engineering and sustainability expertise to help supply chain businesses.,Business Information Systems,Sunhat Business Information Systems startup website,,,,
oculai,"Jul 20, 2021","Munich, Bayern, Germany","Computer Vision, Construction,,,,",11-50,2,"€2,500,000",Seed,"Mar 14, 2023","€2,500,000",6,4,Oculai is a SaaS solution for camera-based data collection on construction sites using intelligent computer vision algorithms.,Computer Vision,oculai Computer Vision startup website,,,,2000.0
Ordio,"Jan 1, 2021","Cologne, Nordrhein-Westfalen,","Apps, Food and Beverage, Information Technology,,,,,",101-250,2,"€3,900,000",Seed,"Jan 16, 2023","€2,900,000",10,5,Deskless Workforce Management,Apps,Ordio Apps startup website,,,2.941,2000.0
Veecle,"Jun 29, 2021","Berlin, Berlin, Germany","Automotive, B2B, Cyber Security,,,,,,,",1-10,4,"$5,011,940",Seed,"Nov 23, 2023","€2,600,000",4,—,"Veecle, automotive software development with our innovative runtime, enabling software-defined vehicles within existing vehicle systems.",Automotive,Veecle Automotive startup website,,300,,2000.0
Klar,2021,"Munich, Bayern, Germany","Data Center, E-Commerce, Software",11-50,1,"€2,300,000",Seed,"Mar 29, 2022","€2,300,000",7,—,Klar engages in building data platforms for growing e-commerce brands.,Data Center,Klar Data Center startup website,,,,2000.0
ContractHero,2020,"Berlin, Berlin, Germany","B2B, SaaS, Small and Medium Businesses,",11-50,2,"€3,550,000",Seed,"Jul 6, 2023","€2,150,000",6,1,ContractHero is a digital contract management solution for business customers.,B2B,ContractHero B2B startup website,,,,2000.0
Senvo,2023,"Berlin, Berlin, Germany","Information Technology, Logistics,",1-10,1,"€2,500,000",Seed,"Sep 27, 2024","€2,500,000",5,1,Senvo develops a last-mile data insights platform for organizations.,Information Technology,Senvo Information Technology startup website,,,,1000.0
mogenius,"Feb 2, 2021","Cologne, Nordrhein-Westfalen,","Cloud Computing, DevOps, Enterprise,,,",11-50,2,"€2,500,000",Seed,"Jul 18, 2024","€2,500,000",5,1,mogenius is a Kubernetes Operations Platform that helps teams to deploy and manage applications on Kubernetes easily.,Cloud Computing,mogenius Cloud Computing startup website,,213,,2000.0
Immerok,May 2022,"Berlin, Berlin, Germany","Cloud Data Services, Developer Platform,,",11-50,1,"$17,000,000",Seed,"Oct 3, 2022","$17,000,000",5,10,Immerok is building a fully managed Apache Flink cloud service for real-time stream processing applications at scale.,Cloud Data Services,Immerok Cloud Data Services startup website,,,,
LEVY Health,Feb 2020,"Berlin, Berlin, Germany","Biotechnology, Fertility, Health Care,,,",11-50,4,"$8,160,245",Seed,"Oct 9, 2024","$4,500,000",10,5,"The LEVY Fertility Code is a clinical decision support software for endocrine disorders, empowering clinicians to diagnose women faster.",Biotechnology,LEVY Health Biotechnology startup website,,,"1,969",5000.0
ONVY HealthTech,"Jan 16, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,,,,,",1-10,5,"€2,650,000",Seed,"Aug 9, 2023",—,4,3,AI-as-a-Service for the Health and Wellness Industry. Data-driven Health Tech Personalization.,Artificial Intelligence (AI),ONVY HealthTech Artificial Intelligence (AI) startup website,,27,"4,525",1000.0
fija Finance GmbH,Jul 2022,"Munich, Bayern, Germany","Blockchain, Decentralized Finance (DeFi),,",1-10,3,"€1,710,000",Seed,"Nov 5, 2024","€1,200,000",4,—,"fija offers a Compliant, Easy and Transparent Crypto Earn Product for Resellers and Institutional Investors.",Blockchain,fija Finance GmbH Blockchain startup website,,,,
DGTAL,2021,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Insurance,,",11-50,1,"€3,000,000",Seed,"Sep 7, 2023","€3,000,000",2,3,DGTAL is the first AI platform that will enable fully automated claims management by leveraging the power of unstructured data analytics.,Artificial Intelligence (AI),DGTAL Artificial Intelligence (AI) startup website,,803,,32000.0
Una Health,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Diabetes,,,",1-10,3,"$2,500,000",Seed,"Feb 15, 2024","$2,500,000",6,1,"The most effective Digital Therapy to reverse metabolic dysfunction based on mobile technology, biosensors, AI and behavioral science.",Artificial Intelligence (AI),Una Health Artificial Intelligence (AI) startup website,,41,,3000.0
Exakt Health,2021,"Berlin, Berlin, Germany","Apps, Health Care, Medical, Sports",11-50,4,"$4,530,677",Seed,"Sep 23, 2024","€2,200,000",17,3,Exakt Health is a physio app for sports injuries that creates an individualized rehabilitation plan.,Apps,Exakt Health Apps startup website,,,"7,375",2000.0
Complori,"Nov 3, 2020","Berlin, Berlin, Germany","EdTech, Education, Information Technology",11-50,2,"€3,500,000",Seed,"Apr 10, 2024",—,4,—,We build the number one platform for parents seeking future-ready out of school activities for their children.,EdTech,Complori EdTech startup website,,,"5,452",2000.0
Kodex AI,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",11-50,2,"$1,815,005",Seed,"Oct 6, 2023","€1,600,000",8,12,Kodex AI offers AI risk management software enabling businesses to assess and control their AI risk quickly.,Artificial Intelligence (AI),Kodex AI Artificial Intelligence (AI) startup website,,,,1000.0
Cogram,"Dec 4, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,2,"$4,500,000",Seed,"Apr 23, 2022","$4,000,000",3,1,The intelligent AI coworker for your team,Artificial Intelligence (AI),Cogram Artificial Intelligence (AI) startup website,,354,49,2000.0
Green Fusion,2021,"Berlin, Berlin, Germany","Energy Management, Software",11-50,3,"€2,925,000",Seed,"Feb 21, 2023","€2,700,000",7,1,Green Fusion develops a simple and secure software solution for more efficient control of your energy system.,Energy Management,Green Fusion Energy Management startup website,,,,4000.0
JUPUS,2022,"Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Legal Tech,",11-50,3,"€1,850,000",Seed,"May 28, 2024","€1,300,000",8,2,JUPUS is the AI secretary for law firms,Artificial Intelligence (AI),JUPUS Artificial Intelligence (AI) startup website,,,"1,250",2000.0
Penzilla GmbH,"Jul 21, 2021","Munich, Bayern, Germany","FinTech, Software",11-50,1,"€2,500,000",Seed,"May 8, 2023","€2,500,000",3,—,Penzilla GmbH offers a solution that helps everyone get the maximum benefit from corporate pension options.,FinTech,Penzilla GmbH FinTech startup website,,,,1000.0
YGO Trips,"Aug 31, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Tourism,",1-10,2,"€2,500,000",Seed,"Aug 7, 2024","€2,500,000",8,2,"YGO Trips is a travel company that allows travellers to book flights, hotels, activities, events & more, conveniently on one platform.",Artificial Intelligence (AI),YGO Trips Artificial Intelligence (AI) startup website,,,"8,844",
Junto,2022,"Berlin, Berlin, Germany","E-Learning, EdTech, Software",1-10,3,"€6,200,000",Seed,"Aug 10, 2022","€5,000,000",14,1,Junto is an EdTech that offers digital live training for companies.,E-Learning,Junto E-Learning startup website,,,,
ONIQ,Sep 2020,"Cologne, Nordrhein-Westfalen,","Application Performance Management,,,,,",11-50,2,"€3,925,000",Seed,"Jul 20, 2022","€3,500,000",2,5,Enabling next level productivity gains through digital lean manufacturing and end-to-end process transparency.,Application Performance Management,ONIQ Application Performance Management startup website,,,,2000.0
