Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Restack,2021,"Berlin, Berlin, Germany","Developer Platform, DevOps, Software",11-50,1,—,Pre-Seed,"Mar 30, 2021",—,9,1,"Restack provides the developer tools and cloud infrastructure to bring AI products into production in minutes, not months."
beeBlum,"Feb 20, 2020","Wiesloch, Baden-Wurttemberg,","B2B, Collaboration, Innovation Management,,,,",1-10,1,"€200,000",Pre-Seed,"Oct 4, 2019","€200,000",—,—,Ideation & Knowledge work framework for agile teams and corporations
Dadan,2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,"$176,000",Pre-Seed,"Sep 2, 2024","$176,000",—,—,Dadan is an innovative screen recording and video creation platform
EcoBeam,2022,"Hamburg, Hamburg, Germany",Web Development,11-50,1,"€15,000",Pre-Seed,"Aug 11, 2022","€15,000",1,—,Ecobeam is a p2p for a greener future through improved resource allocation and a better climate.
MHSP Global Solutions,"Mar 3, 2022","Essen, Nordrhein-Westfalen, Germany","Outsourcing, Product Management,",1-10,1,"€125,000",Pre-Seed,"Mar 22, 2022","€125,000",2,—,"We provide world-class tech teams and solutions by sourcing, upskilling and enabling talent."
boost,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Computer Vision,,,,,",1-10,1,"€120,000",Pre-Seed,"Jan 1, 2020","€120,000",—,—,ai based personal fitness assistant
Daliado,"Apr 1, 2021","Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Real Estate,",11-50,2,"$100,000",Pre-Seed,"Aug 27, 2021","$80,000",—,1,Flexible tokenized Second Home co-owning
ProcessM,2020,"Aachen, Nordrhein-Westfalen,","Business Intelligence, Data Integration,",1-10,1,"€30,000",Pre-Seed,"Oct 1, 2020","€30,000",1,—,ProcessM provides process mining tools for microsoft power BI users.
Unikraft,2021,"Heidelberg, Baden-Wurttemberg,","Cloud Computing, Virtualization",11-50,1,—,Pre-Seed,"Mar 23, 2023",—,2,2,The lightweight virtualization company.
Debtist,"Mar 21, 2023","Frankfurt, Hessen, Germany","Debt Collections, Embedded Software,,",11-50,1,—,Pre-Seed,"Oct 5, 2023",—,5,3,"Debtist is the one-stop shop for receivables management and debt collection in the fintech, e-commerce and software sectors"
formbricks,2022,"Kiel, Schleswig-Holstein, Germany","Embedded Software, Software,",1-10,2,—,Pre-Seed,"Nov 1, 2023",—,3,3,Formbricks is a micro-survey solution that is open source.
Vestlane,2022,"Berlin, Berlin, Germany","Angel Investment, Asset Management,,,,",11-50,1,—,Pre-Seed,"Sep 1, 2023",—,—,—,Vestlane is the private market transactions and fundraising platform.
Bruin,2023,"Berlin, Berlin, Germany","Analytics, Data Management, Database,",1-10,1,—,Pre-Seed,"Oct 8, 2023",—,1,—,Bruin is an online platform for data analysts that allows online data transformation with SQL and Python without any custom code.
Terramate,"May 15, 2023","Berlin, Berlin, Germany","Cloud Computing, Cloud Management,,,",11-50,1,—,Pre-Seed,"May 15, 2023",—,1,3,Terramate helps implement and maintain highly scalable Terraform projects.
StrategyBridgeAI,2022,"Munich, Bayern, Germany",Artificial Intelligence (AI),11-50,1,—,Pre-Seed,"Dec 3, 2024",—,3,—,StrategyBridgeAI technology provides automated business assessments that capture all necessary facts for informed decision-making.
roofline,"Mar 5, 2024","Aachen, Nordrhein-Westfalen,","Artificial Intelligence (AI), Machine Learning,,",1-10,1,—,Pre-Seed,"Jun 1, 2024",—,1,—,"On the mission to make AI deployment at the edge flexible, efficient, and easy."
ReachTeens,"Apr 1, 2020","Hamburg, Hamburg, Germany","Cloud Computing, Cloud Data Services,,",1-10,1,"€50,000",Pre-Seed,"Aug 15, 2020","€50,000",1,—,Consulting media companies for Gen-Z
dstack,Jan 2022,"Munich, Bayern, Germany","Artificial Intelligence (AI), Cloud Data Services,",1-10,1,—,Pre-Seed,"Jan 18, 2022",—,1,3,dstack is an open-source tool that enables defining ML workflows as code.
onu.energy,Apr 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Energy,,,",1-10,1,—,Pre-Seed,"Dec 1, 2023",—,1,—,"AI, B2B SaaS, Energy, Buying, Procurement"
BlazeSQL,"Feb 4, 2023","Berlin, Berlin, Germany","Artificial Intelligence (AI), Human Resources,,",11-50,2,—,Pre-Seed,"Jun 12, 2024",—,—,—,BlazeSQL is an AI-powered tool that helps you turn questions into data insights from your SQL database.
