Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Converta,May 2023,"Berlin, Berlin, Germany","B2B, Point of Sale, SaaS",1-10,1,"€170,000",Pre-Seed,"May 26, 2023","€170,000",1,—,Converta guides B2B sales managers through their weekly pipeline review meetings and highlights.
Semorai,"Nov 24, 2022","Heilbronn, Baden-Wurttemberg,","Artificial Intelligence (AI), Service Industry,",1-10,1,"€200,000",Pre-Seed,"May 9, 2023","€200,000",2,—,Semorai - more freedom for engineers
Telekinesis,2020,"Darmstadt, Hessen, Germany","Artificial Intelligence (AI), Machine Learning,",1-10,1,"$20,000",Pre-Seed,"Jun 30, 2023","$20,000",1,—,Telekinesis is an AI technology developer that enables robots to learn autonomously from videos through Visual Robot Programming.
IvyCheck,2022,"Berlin, Berlin, Germany","B2B, Cyber Security, Data Management,",1-10,1,"$500,000",Pre-Seed,"Sep 7, 2022","$500,000",1,—,IvyCheck is a AI driven cybersecurity company that offers enterprise teams a tool for extracting hidden insights from data.
Epapa,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), EdTech,",1-10,1,"€87,000",Pre-Seed,"Oct 1, 2022","€87,000",1,—,Epapa | An AI-powered learning App for activating abstract thinking in everyone
Aimars,2023,"Berlin, Berlin, Germany",Artificial Intelligence (AI),1-10,1,"€100,000",Pre-Seed,"Aug 18, 2023","€100,000",1,—,Aimars is an AI-driven sales optimization platform that helps businesses understand their customers better by analyzing data.
Meaningful,2024,"Munich, Bayern, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,1,"€100,000",Pre-Seed,"Mar 5, 2024","€100,000",1,—,Supercharge your market research.
Sanos Group,2020,"Berlin, Berlin, Germany","Consumer Applications, Health Care",11-50,1,"€250,000",Pre-Seed,"Jan 7, 2020","€250,000",—,—,Technology enabled smoking cessation platform
Goldn,"Feb 1, 2021","Heidelberg, Baden-Wurttemberg,","Chemical, Cosmetics, SaaS",11-50,1,"€1,200,000",Pre-Seed,"Oct 31, 2021","€1,200,000",—,2,Goldn provides a digital ecosystem connecting brands and suppliers in order to optimize the cosmetics production workflow.
Effinigo,"Jan 16, 2023","Saarbrücken, Saarland, Germany","Commercial Real Estate, Facility Management,,,,,,",1-10,1,"€400,000",Pre-Seed,"May 1, 2023","€400,000",1,—,Effinigo optimizes the energy efficiency in non-residential buildings by providing easily retrofittable IoT solutions
