Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
MOXI,"Aug 18, 2021","Hanover, Niedersachsen, Germany","Health Care, Social Impact, Software,",1-10,3,"€400,000",Seed,"Dec 31, 2023","€250,000",1,—,MOXI provides a platform for booking and coordinating patient transportation.
Xound,May 2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), SaaS,",1-10,1,"€120,000",Seed,"Jun 6, 2023","€120,000",1,—,"Xound is an AI voice cleaner and background noise remover for content creators, podcasters, YouTubers, and Tiktokers."
AVAILY,Oct 2021,"Duisburg, Nordrhein-Westfalen,","Information Technology, PaaS,,,,",11-50,2,"€250,000",Seed,"Feb 1, 2022","€200,000",3,—,AVAILY is a sustainable platform that enables the realization of all New Work concepts.
Unifai,Oct 2020,"Muenchen, Bayern, Germany","Management Information Systems,,,",1-10,2,"€1,100,000",Seed,"Nov 1, 2021","€900,000",2,—,Unifai offers a SaaS solution to help hospitality providers to digitalize their hotel.
Hezo Sports,2022,"Saarbrücken, Saarland, Germany","E-Commerce, Manufacturing,",1-10,2,"$842,000",Seed,"Sep 1, 2023",—,—,—,"Hezo democratizes shoe manufacturing. For measuring they use an app. After this a 3D shoe model is generated, which is produced by 3D Print"
Liga der Roboter,"Oct 1, 2022","Munich, Bayern, Germany","EdTech, Edutainment, STEM Education",51-100,3,"€355,000",Seed,"Sep 2, 2024","€140,000",—,—,Network No.1 for Robotics Kids’ Clubs in Germany
dealcode AI,"Apr 8, 2021","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Lead Generation,,,,,,",11-50,3,"$3,017,016",Seed,"Jun 20, 2023","$1,888,000",5,—,End-to-End Sales Automation
Ahead App,2020,"Berlin, Berlin, Germany",E-Learning,1-10,2,"€1,120,000",Seed,"Nov 4, 2022",—,11,3,"Ahead is a personalized pocket coach that provides bite-sized, science-driven tools to boost emotional intelligence."
OWWN,2021,"Berlin, Berlin, Germany","Apps, Banking, Financial Services,,",11-50,4,"€5,000,000",Seed,"Jun 10, 2021","€5,000,000",13,2,OWWN is a banking app that provides a one-stop shop for young adults to manage their finances.
Babiot,2020,"Essen, Nordrhein-Westfalen, Germany","Electronics, Information Technology,,,",11-50,1,"€2,000,000",Seed,"Aug 8, 2022","€2,000,000",3,—,Babiot develops electronics online tools to access control and tracking systems.
florada,"Mar 10, 2021","Hanover, Niedersachsen, Germany","E-Commerce, Information Technology,,",1-10,2,"€685,000",Seed,"Mar 24, 2023","€300,000",—,—,florada is a platform which digitalizes the floral industry by connecting consumers and florists.
VISPA,Aug 2020,"Stuttgart, Baden-Wurttemberg,","Collaboration, Information Technology,",11-50,1,"€1,500,000",Seed,"Nov 17, 2022","€1,500,000",3,—,VISPA is a virtual team collaboration that allows teams to use virtual rooms for successful projects.
Weflow,Jul 2021,"Berlin, Berlin, Germany","Information Technology, SaaS,,,",11-50,2,"$5,900,000",Seed,"Jul 7, 2023","$3,200,000",11,1,"Revenue teams use Weflow to boost productivity, pipeline visibility, forecast accuracy, and Salesforce data hygiene."
instant3Dhub,2021,"Darmstadt, Hessen, Germany","3D Technology, Database, Information Technology,,",1-10,3,"$1,265,000",Seed,"Jul 18, 2023","$1,100,000",—,—,"Ensure next level 3D data automation, efficiency and collaboration with instant3Dhub."
Legal Analytics GmbH,"Aug 1, 2020","Hanover, Niedersachsen, Germany","Information Technology, Legal Tech,",11-50,2,"€400,000",Seed,"Sep 1, 2020","€250,000",—,5,Legal Analytics helps clients check contracts through technology and legal services.
AreaOne,2021,"Berlin, Berlin, Germany","Big Data, Data Integration, Real Estate,,",1-10,2,"€346,000",Seed,"Nov 1, 2021","€250,000",2,—,Matchingmaking for your perfect home
Freshflow,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Food Delivery,,",11-50,2,"€1,700,000",Seed,"Apr 21, 2022","€1,700,000",7,4,Freshflow is harnessing AI to build the food supply chain technology of the future and tackle global food waste.
Chaineducation Labs,2023,"Berlin, Berlin, Germany","Blockchain, Consulting, Continuing Education,,,",1-10,1,"€100,000",Seed,"Mar 15, 2023","€100,000",—,—,Chaineducation Labs provides learning ecosystem that connects learners with industry experts and experience in blockchain technology.
claimd. app,2021,"Freiburg, Baden-Wurttemberg,","Ad Exchange, Ad Network, Ad Server,,,,,,",11-50,1,"$250,000",Seed,"Apr 7, 2022","$250,000",1,—,CLAIMD is re-inventing social media advertising.
