Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
DeepSkill,"Apr 20, 2020","Köln, Nordrhein-Westfalen, Germany","E-Learning, Personal Development,",11-50,3,"€1,500,000",Seed,"Jun 5, 2024","€1,500,000",9,—,DeepSkill is a digital platform for holistic personnel development.,E-Learning,DeepSkill E-Learning startup website,,,,
Lyntics,2021,"München, Bayern, Germany","Analytics, Data Center, Developer Platform,",11-50,1,"€3,200,000",Seed,"Apr 5, 2022","€3,200,000",3,1,Lyntics is a software company that offers a data literacy platform.,Analytics,Lyntics Analytics startup website,,6,,668.0
autoRetouch,"Jan 31, 2020","Stuttgart, Baden-Wurttemberg,","Artificial Intelligence (AI), E-Commerce,,,,,,",11-50,1,"€3,200,000",Seed,"Jan 26, 2021","€3,200,000",1,—,autoRetouch is the AI-powered image editing platform.,Artificial Intelligence (AI),autoRetouch Artificial Intelligence (AI) startup website,,,,
ImpactNexus,2021,"Berlin, Berlin, Germany","Information Services, Information Technology,",11-50,1,"€800,000",Seed,"Oct 26, 2022","€800,000",3,—,"ImpactNexus offers SaaS solutions to assess, improve and report sustainability impacts & ESG-performance for startups and their supporters.",Information Services,ImpactNexus Information Services startup website,,151.2K,,1000.0
Veli,2023,"Kassel, Hessen, Germany","Intelligent Systems, Manufacturing",1-10,1,"€800,000",Seed,"Nov 11, 2024","€800,000",4,—,Veli manufacturing system and monitors household utilities for irregularities.,Intelligent Systems,Veli Intelligent Systems startup website,,,,1000.0
Infinite Devices,"May 1, 2020","Magdeburg, Sachsen-Anhalt, Germany","Facility Management, Information Technology,,",11-50,2,"€1,460,000",Seed,"May 27, 2020","€1,450,000",4,22,Smart facility management,Facility Management,Infinite Devices Facility Management startup website,,,,
networkx,"Jul 5, 2022","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Boating,,,,,",11-50,1,"$610,000",Seed,"Feb 17, 2023","$610,000",—,9,"networkx is an AI-based platform that prequalifies and matches innovators, visionaries, and changemakers with exclusive clubs worldwide.",Artificial Intelligence (AI),networkx Artificial Intelligence (AI) startup website,,,,
ModuGen,"Oct 15, 2020","Kehl, Baden-Wurttemberg, Germany","Civil Engineering, Construction,",11-50,2,"€1,330,000",Seed,"Apr 19, 2022","€1,200,000",—,—,"Software based Services, SaaS",Civil Engineering,ModuGen Civil Engineering startup website,,,,1000.0
MVP Match,Jan 2020,"Berlin, Berlin, Germany","Product Management, Software,",11-50,2,"€5,000,000",Seed,"Sep 15, 2022","€5,000,000",1,1,MVP Match connects freelance tech professionals with companies to solve challenging problems and create amazing digital products.,Product Management,MVP Match Product Management startup website,,31,,27000.0
ScaleNC,"Aug 28, 2020","Stuttgart, Baden-Wurttemberg,","CAD, Cloud Computing, Industrial Manufacturing,,,,,",1-10,1,"€4,000,000",Seed,"Jul 20, 2022","€4,000,000",1,1,ScaleNC is a B2B start-up that offers on-demand services for sheet metal manufacturing on a cloud platform.,CAD,ScaleNC CAD startup website,,,,
Samdock,Jan 2020,"Munich, Bayern, Germany","Apps, CRM, Machine Learning,,,,",11-50,1,"€1,500,000",Seed,"Feb 1, 2020","€1,500,000",1,1,"Samdock is a SaaS vendor for Sales Automation, Lead Management and CRM focused on the SMB market",Apps,Samdock Apps startup website,,,,2000.0
BACE,"Apr 28, 2023","Dortmund, Nordrhein-Westfalen,","Business Development, Hardware,,,,,,",1-10,1,"€1,320,000",Seed,"Nov 15, 2023","€1,320,000",4,—,"BACE's mission is to become a logistics service and provide expanded service interfaces for all retailers, locals, logistics & end users.",Business Development,BACE Business Development startup website,,,,723.0
Mateo,Jan 2021,"Berlin, Berlin, Germany","CRM, Customer Service",11-50,2,"€240,000",Seed,"Jun 5, 2024",—,3,—,Mateo is the omni-channel customer experience powerhouse that enables local brands and businesses to drive more growth,CRM,Mateo CRM startup website,,,,2000.0
Yoffix,Dec 2020,"Berlin, Berlin, Germany","Human Resources, SaaS, Software",11-50,1,"€550,000",Seed,"May 19, 2022","€550,000",1,2,Hybrid work platform and solution.,Human Resources,Yoffix Human Resources startup website,,,,3000.0
Explory,"Aug 17, 2023","Berlin, Berlin, Germany","Mobile Advertising, Mobile Apps,,,",1-10,2,"€150,000",Seed,"Oct 1, 2024",—,3,—,"Mobile App offering interactive, gamified city exploration experiences for tourists and locals.",Mobile Advertising,Explory Mobile Advertising startup website,,,,
Louco,"May 25, 2021","Frankfurt, Hessen, Germany","Apps, Artificial Intelligence (AI),,,,,",—,1,"€1,500,000",Seed,"Aug 7, 2024","€1,500,000",—,1,Louco is the first AI-powered platform transforming event discovery with personalized suggestions based on users preferences & interests.,Apps,Louco Apps startup website,,,,
ROQ Technology,Aug 2020,"Berlin, Berlin, Germany","Information Technology, Software,,,",11-50,1,"$10,000,000",Seed,"Jun 14, 2021","$10,000,000",1,—,ROQ Technology provides functional UI components and APIs for all critical features required to build the web application.,Information Technology,ROQ Technology Information Technology startup website,,,,
jooli.com,"Mar 1, 2021","Berlin, Berlin, Germany","Apps, E-Commerce, Retail, Software",11-50,3,"€2,500,000",Seed,"Jan 1, 2023","€1,200,000",—,—,jooli.com is a video shopping app that offers retailers individual advice.,Apps,jooli.com Apps startup website,,,,
READO,"Jun 1, 2020","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), B2C,,,,,",11-50,2,"€640,000",Seed,"Feb 22, 2023","€500,000",—,—,READO is the app to help readers find their next book.,Artificial Intelligence (AI),READO Artificial Intelligence (AI) startup website,,,,853.0
truemetrics,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Enterprise Software,,,",1-10,2,"€25,000",Seed,"Jul 1, 2023",—,2,—,truemetrics helps logistics companies find customers faster. Our technology maps entrances via a courier's handheld device.,Artificial Intelligence (AI),truemetrics Artificial Intelligence (AI) startup website,,,,3000.0
Laya Technologies,Feb 2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,"€4,000,000",Seed,"Jun 23, 2021","€4,000,000",—,—,"Laya enables dynamic, fully automated vacation packages for travel brands.",Artificial Intelligence (AI),Laya Technologies Artificial Intelligence (AI) startup website,,,,
headful,"May 14, 2020","Berlin, Berlin, Germany","Content Marketing, CRM, Lead Management,,",11-50,2,"€600,000",Seed,"Apr 1, 2024","€500,000",—,—,"Saas, CRM, Sales and Service Communication Platform",Content Marketing,headful Content Marketing startup website,,,,370.0
Acapela,"Sep 1, 2020","Berlin, Berlin, Germany","Email, Real Time, Web Apps",11-50,1,"$3,000,000",Seed,"Oct 22, 2020","$3,000,000",3,1,"Acapela lets you take control of your notifications. Capture, filter and action them all from one place. Unblock your team twice as fast.",Email,Acapela Email startup website,,982,,3000.0
Vaayu,2021,"Berlin, Berlin, Germany","CleanTech, Green Consumer Goods,,",51-100,2,"$13,100,000",Seed,"Apr 20, 2022","$11,500,000",10,5,Software that helps retailers track and cut carbon in real-time.,CleanTech,Vaayu CleanTech startup website,,,,
Seqstant,2021,"Teltow, Brandenburg, Germany","Information Technology, Software",1-10,1,"€1,800,000",Seed,"Nov 5, 2023","€1,800,000",4,—,"Seqstant offers real-time pathogen analysis, allowing for sensitive, specific, and user-friendly real-time genetic diagnostics.",Information Technology,Seqstant Information Technology startup website,,,,
Climatiq,2021,"Berlin, Berlin, Germany","CleanTech, Developer APIs, Enterprise Software,,",11-50,2,"$7,832,899",Seed,"Oct 14, 2022","€6,000,000",3,16,Build climate intelligent solutions powered by smart data,CleanTech,Climatiq CleanTech startup website,,,,8000.0
Timecho,2021,"Stuttgart, Baden-Wurttemberg,","Analytics, Data Storage, Internet of Things",11-50,1,"$10,000,000",Seed,"Jun 29, 2022","$10,000,000",4,—,Timecho is an IoT-native time series database.,Analytics,Timecho Analytics startup website,,42,,498.0
DIDIT,"Feb 1, 2020","Berlin, Berlin, Germany","Mobile Payments, Payments, Restaurants",11-50,2,"€4,000,000",Seed,"Aug 15, 2021","€2,000,000",6,—,Pay at restaurants whenever and whoever you want - in just 15 seconds.,Mobile Payments,DIDIT Mobile Payments startup website,,,,
clous,"Jan 6, 2020","Berlin, Berlin, Germany",Software,11-50,5,"€825,000",Seed,"Nov 15, 2022",—,7,2,clous is the platform for the implementation of individual workflows for the automated conversion and analysis of engineering data.,Software,clous Software startup website,,549.6K,,
Orthogonal,Apr 2021,"Munich, Bayern, Germany",Software,11-50,2,"$4,500,000",Seed,"Aug 7, 2023","$3,500,000",3,—,We're a leading tool vendor offering specialized software and hardware solutions tailored for spatial computing-based product design.,Software,Orthogonal Software startup website,,623,,4000.0
Hyrise Academy,2020,"Berlin, Berlin, Germany","E-Learning, Education",1-10,2,"€750,000",Seed,"Sep 20, 2022","€750,000",5,—,Hyrise Academy is an online learning site for careers in tech sales.,E-Learning,Hyrise Academy E-Learning startup website,,,,
Bringman,2020,"Offenburg, Baden-Wurttemberg,","Apps, Delivery, Food Delivery,",11-50,1,"€1,000,000",Seed,"Nov 29, 2021","€1,000,000",1,—,Bringman purchases goods in Edeka stores and delivers them to the doorstep.,Apps,Bringman Apps startup website,,,,
VIZTA DGTL,2023,"Berlin, Berlin, Germany","Cryptocurrency, Gaming, Non-Fungible Token (NFT),",1-10,1,"€1,500,000",Seed,"Oct 18, 2024","€1,500,000",4,—,VIZTA is an innovative gaming studio at the forefront of significant technology shifts and increasing demands from new generations.,Cryptocurrency,VIZTA DGTL Cryptocurrency startup website,,,,
_blaenk,Oct 2020,"Cologne, Nordrhein-Westfalen,","Advertising, Cloud Data Services,,,",11-50,2,"$1,733,349",Seed,"Jul 1, 2021","$560,000",5,—,The the leading Omnichannel RetailTech Startup in Europe.,Advertising,_blaenk Advertising startup website,,,,1000.0
Fanzone Media,2020,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Media and Entertainment,",11-50,3,"$75,000",Seed,"Feb 24, 2023","$75,000",2,—,Fanzone Media is a fan engagement platform with digital trading cards.,Blockchain,Fanzone Media Blockchain startup website,,,,2000.0
UniApp,"Dec 3, 2020","Frankfurt, Hessen, Germany","EdTech, Education, Higher Education",11-50,1,"€1,000,000",Seed,"May 2, 2022","€1,000,000",—,5,UniApp is an EdTech Empowering International Education,EdTech,UniApp EdTech startup website,,,,
CO2OPT,"Jan 24, 2022","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,2,"€150,000",Seed,"Jun 6, 2023",—,7,19,AI driven platform for tire management in the logistics industry,Artificial Intelligence (AI),CO2OPT Artificial Intelligence (AI) startup website,,,,2000.0
xito.one,2020,"Ulm, Baden-Wurttemberg, Germany",Robotics,11-50,2,"€1,600,000",Seed,"Feb 21, 2024","€1,600,000",3,1,XITO is a manufacturer of the marketplace for automation through robotics.,Robotics,xito.one Robotics startup website,,,,655.0
Triviar,"May 7, 2020","Oldenburg, Niedersachsen, Germany",Software,1-10,1,"€730,000",Seed,"Dec 23, 2021","€730,000",1,—,Our vision is to revolutionize the old model of the 'VHS' in Germany and build the largest platform in Europe for local courses & events.,Software,Triviar Software startup website,,,,
Abc Doc,2020,"Berlin, Berlin, Germany","Information Technology, Legal Tech,",11-50,1,"€500,000",Seed,"Nov 25, 2021","€500,000",1,—,"Abc Doc is a web-based service that recognizes bureaucratic letters, provides a summary, and suggests next steps.",Information Technology,Abc Doc Information Technology startup website,,,,
cleverly.de,"Dec 22, 2020","Berlin, Berlin, Germany","B2B, B2C, E-Learning, EdTech,,",11-50,4,"€8,600,000",Seed,"Sep 13, 2023","€4,600,000",10,—,"cleverly is a B2B2C kids online coaching platform, empowering family's wellbeing by matching kids & teens with their perfect companion.",B2B,cleverly.de B2B startup website,,16,,
MyTaag,2020,"Hamburg, Hamburg, Germany","Credit Cards, Debit Cards, Internet,",1-10,2,"€550,000",Seed,"Apr 29, 2024","€500,000",2,—,MyTaag provides customized smart sticker and cards that can be used as digital business cards.,Credit Cards,MyTaag Credit Cards startup website,,,,
suena,"Oct 6, 2021","Hamburg, Hamburg, Germany","Energy, Energy Storage, Renewable Energy,,,",11-50,4,"€4,200,000",Seed,"Dec 20, 2023","€3,000,000",8,18,suena is a Hamburg based 100% digital flexibility trader for large-scale battery storage and renewable energies.,Energy,suena Energy startup website,,,,5000.0
Vyoma GmbH,"Aug 17, 2020","Munich, Bayern, Germany","Aerospace, Artificial Intelligence (AI),,",11-50,3,"€13,500,000",Seed,"Oct 3, 2023","€5,000,000",6,4,"Vyoma helps in increasing confidence in space with real-time debris observations and AI, for safe and automated satellite operations.",Aerospace,Vyoma GmbH Aerospace startup website,,,,6000.0
wryte,"Oct 14, 2020","Munich, Bayern, Germany","Apps, Education, Information Technology,,",11-50,3,"$1,038,855",Seed,"Mar 13, 2023","$120,000",2,1,Wryte is a transcription app that connectsand masters all educational activities.,Apps,wryte Apps startup website,,,,482.0
melon,"Feb 14, 2020","München, Bayern, Germany","Apps, Food and Beverage, Marketplace,",1-10,1,"€1,000,000",Seed,"Jan 20, 2022","€1,000,000",—,—,"melon is an online community marketplace for people to share, book and build genuine connections via plant-based food.",Apps,melon Apps startup website,,445,,2000.0
Mataono,2021,"Dresden, Sachsen, Germany","Corporate Training, Market Research,,,",1-10,2,"€800,000",Seed,"Jun 15, 2022",—,—,—,Mataono is a SaaS which turns meetings into experiences based on emotions,Corporate Training,Mataono Corporate Training startup website,,,,952.0
bits&birds,"Jun 11, 2020","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Human Resources,,",51-100,2,"€900,000",Seed,"Apr 25, 2023","€850,000",1,—,Bits&birds is an HR consulting for the digital and IT sector companies.,Artificial Intelligence (AI),bits&birds Artificial Intelligence (AI) startup website,,,,
enuncia.AI,Jun 2023,"Berlin, Berlin, Germany",Software,1-10,2,"€50,000",Seed,"Mar 23, 2024",—,—,—,Enuncia.AI develops a mobile application for speech impediment diagnostics and treatment.,Software,enuncia.AI Software startup website,,,,
202up,Jun 2020,"Berlin, Berlin, Germany","Business Development, E-Commerce,,",1-10,1,"€1,100,000",Seed,"Sep 20, 2021","€1,100,000",1,—,202up is a B2B (Business-to-Business) E-commerce Platform And E-commerce Software for the Real Estate Market.,Business Development,202up Business Development startup website,,,,
