Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Atmen,Oct 2022,"Eching, Bayern, Germany","B2B, Enterprise Software, Renewable Energy,",1-10,1,"€1,300,000",Pre-Seed,"Jan 16, 2024","€1,300,000",4,2,"Atmen automates green certification for energy-intensive industries, saving up to 90% time in the process. Starting with hydrogen & e-fuels."
Nala Earth,2023,"Berlin, Berlin, Germany","Water, Web Development",1-10,1,"€1,700,000",Pre-Seed,"Oct 18, 2023","€1,700,000",7,9,Nala Earth provides data and tools that enable businesses to better understand and connect with the natural world.
Diligent,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Industrial Automation,",1-10,1,"$500,000",Pre-Seed,"Feb 6, 2024","$500,000",1,1,Diligent helps fintechs and banks to automate and strengthen risk and compliance operations with Large Language Models
telli,2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,",11-50,1,"$500,000",Pre-Seed,"Dec 4, 2024","$500,000",1,—,"Telli builds AI voice agents to automate pre-sales outreach for B2C companies, converting leads into sales opportunities."
cognee inc,"Jun 21, 2024","Berlin, Berlin, Germany","Artificial Intelligence (AI), Generative AI,,",1-10,1,"€1,500,000",Pre-Seed,"Nov 20, 2024","€1,500,000",4,—,Semantic memory for AI apps and Agents
QuantPi,2020,"Saarbrücken, Saarland, Germany","Artificial Intelligence (AI), Machine Learning,",11-50,2,"€2,500,000",Pre-Seed,"Oct 7, 2022","€2,500,000",5,—,QuantPi creates automated and scalable solutions for AI model explainability and robustness auditing.
Olivaw Robotics,2023,"Munich, Bayern, Germany","Robotic Process Automation (RPA),",1-10,1,"€1,200,000",Pre-Seed,"Apr 8, 2024","€1,200,000",2,—,"Olivaw Robotics is a platform developed to help robot manufacturers, distributors in operating their own robotic networks."
Valuecase,2021,"Hamburg, Hamburg, Germany","Information Technology, SaaS,,,",11-50,2,"€3,500,000",Pre-Seed,"Sep 8, 2022","€3,000,000",11,2,End-to-end customer engagement platform for B2B growth teams.
PandasAI,2023,"Munich, Bayern, Germany",Software,1-10,1,"€1,100,000",Pre-Seed,"Sep 29, 2023","€1,100,000",3,4,PandasAI is an open-source platform that provides AI agents for data analysis.
Loyalift,"Jun 29, 2023","Munich, Bayern, Germany","Artificial Intelligence (AI), Consulting,,,",1-10,1,"€750,000",Pre-Seed,"Dec 2, 2024","€750,000",4,—,Loyalift is a B2B SaaS Platform. The Loyalift AI automatically analyses video content and combines it with internal company data
trail,2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Software",1-10,1,"€1,450,000",Pre-Seed,"Jul 11, 2024","€1,450,000",8,—,"Trail offers a straightforward approach to implementing AI Governance, empowering developers and businesses to create reliable AI solutions"
913.ai,2023,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Enterprise Software,,",1-10,2,"€400,000",Pre-Seed,"Jul 1, 2024","€300,000",1,—,Deep Automation of Specialist Workflows via our proprietary AI Infrastructure.
Nomos,2024,"Berlin, Berlin, Germany","Developer APIs, Energy, Energy Efficiency",1-10,1,"€1,900,000",Pre-Seed,"Oct 15, 2024","€1,900,000",4,1,Nomos is an IT company that develops embedded dynamic energy plans and Implements them in days instead of months.
Komment,May 2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Developer Tools,,,",1-10,1,"$1,500,000",Pre-Seed,"Sep 1, 2023","$1,500,000",4,—,Komment documents enterprise code automatically so teams can shift their focus back to building and innovating.
Maya Climate,Jun 2022,"Berlin, Berlin, Germany","Financial Services, Generative AI,,,,",11-50,2,"€1,370,000",Pre-Seed,"Jan 31, 2023","€1,200,000",3,3,"Maya is your geospatial copilot, automating data analysis to create actionable insights for assessing & monitoring natural assets."
Scavenger AI,2023,"Berlin, Berlin, Germany","Analytics, Artificial Intelligence (AI),,",11-50,1,"€1,100,000",Pre-Seed,"Apr 11, 2024","€1,100,000",5,8,Scavenger allows decision-makers to take the best decision possible by transforming raw data into actionable insights within seconds.
