Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
ParcelBox Platform,"Aug 1, 2021","Berlin, Berlin, Germany","Internet of Things, Logistics, Mobile Apps",1-10,1,—,Pre-Seed,"Feb 1, 2022",—,1,—,The platform manages authorized access to smart PostBoxes for parcels.
Biralabs,"Dec 16, 2021","Munich, Bayern, Germany","Art, Artificial Intelligence (AI),,",1-10,1,—,Pre-Seed,"May 20, 2022",—,1,—,AI generated Illustrations
alfatier GmbH,"May 12, 2021","Hamburg, Hamburg, Germany","SaaS, Software",1-10,1,—,Pre-Seed,"May 15, 2021",—,1,—,"SaaS, HRtech, Talent Management, Skills Management"
independesk,2020,"Berlin, Berlin, Germany","Internet, Mobile Apps, Rental,",11-50,1,—,Pre-Seed,"Mar 24, 2021",—,2,—,"Workspace Platform, Coworking Provider and SaaS for Management of Hybrid Working"
Yuaco,"Jun 20, 2020","Berlin, Berlin, Germany","Information Services, Internet,,,",1-10,1,—,Pre-Seed,"May 25, 2020",—,—,—,Fast and time-saving email for business people
Black Forest Labs,2024,"Freiburg Im Breisgau, Baden-Wurttemberg,","Artificial Intelligence (AI), Generative AI,,",11-50,1,"€28,000,000",Seed,"Aug 1, 2024","€28,000,000",8,14,"Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency."
constellr,2020,"Freiburg, Baden-Wurttemberg,","Agriculture, Database, Geospatial,",51-100,7,"€33,454,397",Seed,"Jul 24, 2023","€17,000,000",14,21,"constellr develops an imaging technology to assess vegetation, soil health, and industrial monitoring for the agriculture sector."
lemon.markets,2020,"Berlin, Berlin, Germany","Developer APIs, Enterprise Applications,,,",11-50,3,"€27,000,000",Seed,"Jul 11, 2024","€12,000,000",7,23,"Lemon.markets is a FinTech platform that offers an easy-to-use API for stock trading, order execution, and market data retrieval."
SynthFlow AI,Jul 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Productivity Tools,",11-50,2,"$8,984,617",Seed,"Jun 27, 2024","$7,400,000",3,17,"Synthflow AI empowers businesses to build customizable, no-code AI voice assistants that handle a variety of tasks."
NAO,Jan 2022,"Berlin, Berlin, Germany","Financial Services, Funding Platform,",1-10,2,"€5,000,000",Seed,"Dec 9, 2024","€3,400,000",6,8,NAO offers innovative investment opportunities including private equity and hedge funds.
